chrom:start-end:strand	nb_ccr	gene_id	biotype
1:16366074-16371076:-	7	ENSSSCG00000030067	c
1:16366074-16369805:-	8	ENSSSCG00000030067	c
1:16368498-16374414:-	36	ENSSSCG00000030067	c
1:16368498-16371076:-	8	ENSSSCG00000030067	c
1:16369648-16374414:-	7	ENSSSCG00000030067	c
1:16406040-16415727:+	5	ENSSSCG00000028867	c
1:16406807-16413956:+	8	ENSSSCG00000028867	c
1:16420172-16429248:+	13	ENSSSCG00000028867	c
1:18437400-18464178:-	6	ENSSSCG00000004113	c
1:18874153-18889491:-	17	ENSSSCG00000004114	c
1:18889321-18904036:-	59	ENSSSCG00000004114	c
1:18956800-18978518:-	7	ENSSSCG00000004114	c
1:18974327-18988024:-	5	ENSSSCG00000004114	c
1:18978279-18995804:-	18	ENSSSCG00000004114	c
1:18987937-19005183:-	270	ENSSSCG00000004114	c
1:18987937-18999931:-	39	ENSSSCG00000004114	c
1:19643978-19654272:+	5	ENSSSCG00000004120	c
1:19643978-19659925:+	6	ENSSSCG00000004120	c
1:19643978-19661031:+	12	ENSSSCG00000004120	c
1:19688505-19689513:+	5	ENSSSCG00000004120	c
1:19764590-19766628:+	7	ENSSSCG00000004121	c
1:20821001-20826456:-	9	ENSSSCG00000004123	c
1:20908951-20913116:-	10	ENSSSCG00000004123	c
1:21779718-21781094:-	5	ENSSSCG00000004134	c
1:22697936-22706363:-	6	ENSSSCG00000004139	c
1:22731267-22731891:-	6	ENSSSCG00000004139	c
1:22880594-22901667:-	56	ENSSSCG00000004140	c
1:22891663-22901667:-	22	ENSSSCG00000004140	c
1:25523035-25528664:+	6	ENSSSCG00000004146	c
1:25523035-25525358:+	6	ENSSSCG00000004146	c
1:25526209-25528664:+	11	ENSSSCG00000004146	c
1:26118818-26120866:-	6	ENSSSCG00000022968	c
1:27450520-27478260:+	5	ENSSSCG00000026041	c
1:29027847-29042644:+	27	ENSSSCG00000004169	c
1:31980771-31982095:+	16	ENSSSCG00000004196	c
1:32316913-32354628:-	13	ENSSSCG00000036790	c
1:32324752-32354628:-	6	ENSSSCG00000036790	c
1:32520012-32522430:+	12	ENSSSCG00000004199	c
1:33271333-33278592:-	22	ENSSSCG00000004203	c
1:33672927-33685503:+	12	ENSSSCG00000004205	c
1:33672927-33696120:+	6	ENSSSCG00000004205	c
1:35421645-35422693:+	10	ENSSSCG00000024392	c
1:36964150-36978525:-	9	ENSSSCG00000004220	c
1:36964150-36994867:-	6	ENSSSCG00000004220	c
1:36964150-36973899:-	6	ENSSSCG00000004220	c
1:36976973-36991472:-	5	ENSSSCG00000004220	c
1:37122168-37182851:-	5	ENSSSCG00000004222	c
1:37167040-37187026:-	8	ENSSSCG00000004222	c
1:39228113-39228323:+	6	ENSSSCG00000027613	c
1:40134575-40137899:+	6	ENSSSCG00000004237	c
1:40148983-40164224:-	14	ENSSSCG00000004238	c
1:40157757-40164224:-	11	ENSSSCG00000004238	c
1:40162316-40168232:-	10	ENSSSCG00000004238	c
1:41144281-41164096:+	14	ENSSSCG00000004242	c
1:41144281-41156428:+	5	ENSSSCG00000004242	c
1:41144281-41149254:+	6	ENSSSCG00000004242	c
1:41177343-41207401:+	6	ENSSSCG00000004242	c
1:41177343-41180922:+	5	ENSSSCG00000004242	c
1:43097768-43099411:+	5	ENSSSCG00000004245	c
1:43440860-43441648:+	36	ENSSSCG00000004249	c
1:44163929-44171097:-	27	ENSSSCG00000020885	c
1:44914496-44916343:-	11	ENSSSCG00000004262	c
1:44921011-44935340:-	52	ENSSSCG00000004262	c
1:44926338-44935340:-	9	ENSSSCG00000004262	c
1:44928512-44935340:-	10	ENSSSCG00000004262	c
1:44930392-44935340:-	40	ENSSSCG00000004262	c
1:45175189-45175843:+	11	ENSSSCG00000025941	c
1:45232833-45233102:+	9	ENSSSCG00000035259	c
1:49470631-49476453:+	13	ENSSSCG00000004270	c
1:49894309-49899256:-	5	ENSSSCG00000004272	c
1:49894309-49919338:-	5	ENSSSCG00000004272	c
1:49916144-49932071:-	8	ENSSSCG00000004272	c
1:49919212-49941923:-	18	ENSSSCG00000004272	c
1:49928659-49945305:-	6	ENSSSCG00000004272	c
1:49931982-49945305:-	14	ENSSSCG00000004272	c
1:50595625-50596565:+	18	ENSSSCG00000004275	c
1:50644882-50663384:+	51	ENSSSCG00000004275	c
1:50644882-50651103:+	6	ENSSSCG00000004275	c
1:50655823-50663384:+	15	ENSSSCG00000004275	c
1:50832069-50857783:+	6	ENSSSCG00000004276	c
1:50832069-50870956:+	11	ENSSSCG00000004276	c
1:52134345-52179177:+	6	ENSSSCG00000004280	c
1:53146857-53157947:+	28	ENSSSCG00000022994	c
1:53152425-53157947:+	12	ENSSSCG00000022994	c
1:53397626-53413955:-	14	ENSSSCG00000004289	c
1:53409337-53413955:-	26	ENSSSCG00000004289	c
1:54462731-54469709:-	5	ENSSSCG00000004293	c
1:54462731-54466491:-	8	ENSSSCG00000004293	c
1:54465664-54466491:-	5	ENSSSCG00000004293	c
1:54528561-54529700:-	15	ENSSSCG00000004293	c
1:54576237-54576836:-	76	ENSSSCG00000004294	c
1:54576237-54581212:-	14	ENSSSCG00000004294	c
1:55666251-55669095:+	104	ENSSSCG00000035281	c
1:55937065-55954186:-	7	ENSSSCG00000004303	c
1:55990772-55997866:+	5	ENSSSCG00000004306	c
1:55995700-56000362:+	6	ENSSSCG00000004306	c
1:56001861-56034992:+	26	ENSSSCG00000004306	c
1:56001861-56006189:+	13	ENSSSCG00000004306	c
1:56049752-56052896:-	5	ENSSSCG00000004307	c
1:56960509-57031666:-	9	ENSSSCG00000004311	c
1:56960509-56987501:-	13	ENSSSCG00000004311	c
1:56979831-57031666:-	27	ENSSSCG00000004311	c
1:56979831-56998082:-	5	ENSSSCG00000004311	c
1:57030071-57038889:-	23	ENSSSCG00000004311	c
1:57030071-57037382:-	16	ENSSSCG00000004311	c
1:57030071-57031666:-	7	ENSSSCG00000004311	c
1:57349314-57354474:-	8	ENSSSCG00000004317	c
1:57385548-57402221:-	5	ENSSSCG00000004318	c
1:57392228-57393736:-	24	ENSSSCG00000004318	c
1:57626338-57627778:+	17	ENSSSCG00000004322	c
1:57775448-57778882:-	7	ENSSSCG00000004328	c
1:57778012-57785737:-	5	ENSSSCG00000004328	c
1:57780876-57785737:-	17	ENSSSCG00000004328	c
1:57782426-57785737:-	12	ENSSSCG00000004328	c
1:57788271-57790359:-	12	ENSSSCG00000004328	c
1:57788271-57796014:-	14	ENSSSCG00000004328	c
1:58515790-58521489:-	8	ENSSSCG00000004334	c
1:58519671-58523658:-	7	ENSSSCG00000004334	c
1:58523529-58533984:-	16	ENSSSCG00000004334	c
1:60882052-60883394:-	7	ENSSSCG00000004336	c
1:64259725-64260452:+	7	ENSSSCG00000027002	c
1:64395019-64445410:-	5	ENSSSCG00000004344	c
1:65894299-65911662:-	5	ENSSSCG00000004347	c
1:66321460-66339064:-	9	ENSSSCG00000004349	c
1:66327216-66339064:-	6	ENSSSCG00000004349, ENSSSCG00000037594	c
1:66332070-66339064:-	41	ENSSSCG00000004349, ENSSSCG00000037594	c
1:66336419-66339064:-	6	ENSSSCG00000004349, ENSSSCG00000037594	c
1:66353975-66356192:-	29	ENSSSCG00000037594	c
1:66353975-66358900:-	9	ENSSSCG00000037594	c
1:66353975-66360969:-	9	ENSSSCG00000037594	c
1:66358762-66360969:-	6	ENSSSCG00000037594	c
1:66405986-66425204:-	5	ENSSSCG00000004351	c
1:66412648-66425204:-	13	ENSSSCG00000004351	c
1:66477212-66484136:-	9	ENSSSCG00000004353	c
1:66487804-66492995:-	9	ENSSSCG00000004353	c
1:67439728-67445988:-	5	ENSSSCG00000004358	c
1:67449465-67461889:-	9	ENSSSCG00000004358	c
1:67576478-67578266:-	6	ENSSSCG00000004358	c
1:67576478-67584208:-	15	ENSSSCG00000004358	c
1:67576478-67613863:-	5	ENSSSCG00000004358	c
1:71002779-71010986:-	10	ENSSSCG00000004364	c
1:71002779-71020948:-	9	ENSSSCG00000004364	c
1:71031953-71047241:-	7	ENSSSCG00000004364	c
1:71053396-71074187:-	5	ENSSSCG00000004364	c
1:71055165-71082722:-	65	ENSSSCG00000004364	c
1:71082646-71092173:-	9	ENSSSCG00000004364	c
1:71089793-71092173:-	5	ENSSSCG00000004364	c
1:72539526-72540041:+	5	ENSSSCG00000004371	c
1:72832962-72835347:+	12	ENSSSCG00000004374	c
1:72832962-72833340:+	16	ENSSSCG00000004374	c
1:73894169-73901226:-	19	ENSSSCG00000033392	c
1:73894169-73922225:-	28	ENSSSCG00000033392	c
1:74028417-74030320:-	7	ENSSSCG00000004382	c
1:74029359-74030320:-	10	ENSSSCG00000004382	c
1:74043727-74052367:-	23	ENSSSCG00000004382	c
1:74276431-74286452:+	8	ENSSSCG00000004384	c
1:74404667-74429801:+	12	ENSSSCG00000040199	c
1:74404667-74440246:+	17	ENSSSCG00000040199	c
1:74428873-74440246:+	11	ENSSSCG00000040199	c
1:74503237-74579308:+	8	ENSSSCG00000040199	c
1:75019088-75032923:+	7	ENSSSCG00000004388	c
1:75272049-75280655:+	5	ENSSSCG00000004415	c
1:75279280-75280655:+	19	ENSSSCG00000004415	c
1:75326040-75345508:+	6	ENSSSCG00000004415	c
1:75326040-75333864:+	20	ENSSSCG00000004415	c
1:75339854-75345508:+	9	ENSSSCG00000004415	c
1:75383160-75393380:+	5	ENSSSCG00000004415	c
1:75476721-75501254:-	17	ENSSSCG00000004413	c
1:75476721-75504649:-	19	ENSSSCG00000004413	c
1:75476721-75492087:-	15	ENSSSCG00000004413	c
1:75660013-75670605:-	7	ENSSSCG00000033739	c
1:75718075-75739270:+	25	ENSSSCG00000004405	c
1:75753868-75759232:+	75	ENSSSCG00000004405	c
1:76598233-76605761:-	23	ENSSSCG00000037424	c
1:76620008-76723195:-	6	ENSSSCG00000037424	c
1:76620008-76651641:-	7	ENSSSCG00000037424	c
1:76620008-76750287:-	7	ENSSSCG00000037424	c
1:76625029-76651641:-	5	ENSSSCG00000037424	c
1:76649381-76750287:-	19	ENSSSCG00000037424	c
1:76649381-76727151:-	23	ENSSSCG00000037424	c
1:76920941-76940963:+	10	ENSSSCG00000004394	c
1:76936103-76940963:+	5	ENSSSCG00000004394	c
1:76967216-76980603:+	14	ENSSSCG00000004394	c
1:77086748-77087208:+	31	ENSSSCG00000004419, ENSSSCG00000004394	c
1:77215897-77241817:-	30	ENSSSCG00000025703	c
1:77215897-77236972:-	21	ENSSSCG00000025703	c
1:77215897-77279692:-	8	ENSSSCG00000025703	c
1:77215897-77239878:-	6	ENSSSCG00000025703	c
1:77222705-77241817:-	7	ENSSSCG00000025703	c
1:77234824-77236972:-	101	ENSSSCG00000025703	c
1:77234824-77241817:-	11	ENSSSCG00000025703	c
1:77239633-77263817:-	6	ENSSSCG00000025703	c
1:77239633-77270404:-	12	ENSSSCG00000025703	c
1:77239633-77279692:-	6	ENSSSCG00000025703	c
1:77241675-77270404:-	6	ENSSSCG00000025703	c
1:77254057-77270404:-	11	ENSSSCG00000025703	c
1:77263698-77270404:-	260	ENSSSCG00000025703	c
1:77267170-77270404:-	39	ENSSSCG00000025703	c
1:77268673-77270404:-	5	ENSSSCG00000025703	c
1:77299035-77302848:-	5	ENSSSCG00000025703	c
1:77324712-77334918:-	7	ENSSSCG00000025703	c
1:78080586-78083345:-	7	ENSSSCG00000004425	c
1:78136843-78149434:-	6	ENSSSCG00000004425	c
1:79872838-79879318:-	5	ENSSSCG00000004432	c
1:79879035-79879318:-	180	ENSSSCG00000004432	c
1:79882323-79886038:-	5	ENSSSCG00000004432	c
1:79885358-79886038:-	75	ENSSSCG00000004432	c
1:82332439-82342386:-	6	ENSSSCG00000043963	c
1:82875116-82891579:+	17	ENSSSCG00000004454	c
1:83018120-83025603:+	6	ENSSSCG00000004456	c
1:83065191-83066939:-	7	ENSSSCG00000004457	c
1:83094578-83112794:-	23	ENSSSCG00000004457	c
1:83098176-83112794:-	17	ENSSSCG00000004457	c
1:83108432-83112794:-	13	ENSSSCG00000004457	c
1:83174464-83180536:+	11	ENSSSCG00000026346	c
1:83996561-84003434:+	8	ENSSSCG00000004460	c
1:83998425-84007243:+	5	ENSSSCG00000004460	c
1:84000859-84007243:+	25	ENSSSCG00000004460	c
1:84029799-84038578:+	9	ENSSSCG00000004460	c
1:84036048-84038578:+	52	ENSSSCG00000004460	c
1:84036048-84056304:+	36	ENSSSCG00000004460	c
1:85926480-85964180:-	141	ENSSSCG00000004465	c
1:85926480-86004933:-	6	ENSSSCG00000004465	c
1:85961742-85964180:-	73	ENSSSCG00000004465	c
1:85961742-86004933:-	9	ENSSSCG00000004465	c
1:86082232-86098862:-	5	ENSSSCG00000004466	c
1:86087248-86098862:-	27	ENSSSCG00000004466	c
1:86089287-86101740:-	11	ENSSSCG00000004466	c
1:86098772-86101740:-	8	ENSSSCG00000004466	c
1:86099850-86101740:-	8	ENSSSCG00000004466	c
1:86107112-86117157:-	10	ENSSSCG00000004466	c
1:86627847-86633865:+	19	ENSSSCG00000004469	c
1:86675332-86679894:+	8	ENSSSCG00000004469	c
1:87134226-87178553:+	48	ENSSSCG00000004473	c
1:87134226-87169876:+	7	ENSSSCG00000004473	c
1:87134226-87134571:+	8	ENSSSCG00000004473	c
1:87210272-87212987:+	6	ENSSSCG00000004473	c
1:87210272-87215583:+	6	ENSSSCG00000004473	c
1:88322404-88322940:-	47	ENSSSCG00000034152	c
1:90046151-90056796:-	7	ENSSSCG00000004478	c
1:90180045-90185143:-	7	ENSSSCG00000020702	c
1:90220787-90269663:-	24	ENSSSCG00000020702	c
1:90238340-90255853:-	8	ENSSSCG00000020702	c
1:90238340-90269663:-	18	ENSSSCG00000020702	c
1:90254629-90255853:-	5	ENSSSCG00000020702	c
1:90803040-90805557:+	8	ENSSSCG00000004484	c
1:90822120-90832324:+	6	ENSSSCG00000004484	c
1:92088707-92121923:-	9	ENSSSCG00000004485	c
1:94314526-94315177:+	23	ENSSSCG00000004490	c
1:95500837-95505732:-	13	ENSSSCG00000021072	c
1:95513002-95517739:-	27	ENSSSCG00000021072	c
1:95513002-95536688:-	6	ENSSSCG00000021072	c
1:95551026-95554524:-	5	ENSSSCG00000021072	c
1:95571668-95572715:-	8	ENSSSCG00000021072	c
1:95571668-95582063:-	5	ENSSSCG00000021072	c
1:95742425-95742917:-	13	ENSSSCG00000004499	c
1:95743459-95744239:-	40	ENSSSCG00000004499	c
1:95846714-95847499:+	92	ENSSSCG00000004500	c
1:96453515-96465249:-	6	ENSSSCG00000034730	c
1:96453515-96472730:-	6	ENSSSCG00000034730	c
1:96493193-96516009:-	21	ENSSSCG00000034730	c
1:96515534-96516009:-	14	ENSSSCG00000034730	c
1:96623937-96652688:+	12	ENSSSCG00000022643	c
1:96631009-96652688:+	68	ENSSSCG00000022643	c
1:96631009-96673119:+	10	ENSSSCG00000022643	c
1:96632706-96652688:+	6	ENSSSCG00000022643	c
1:97428774-97429252:-	5	ENSSSCG00000004505	c
1:97447507-97451864:-	5	ENSSSCG00000004505	c
1:98860450-98888929:-	10	ENSSSCG00000004508	c
1:98860450-98862298:-	6	ENSSSCG00000004508	c
1:98882665-98888929:-	5	ENSSSCG00000004508	c
1:98929604-99001088:-	13	ENSSSCG00000004508	c
1:98951835-99001088:-	8	ENSSSCG00000004508	c
1:100589849-100597672:+	29	ENSSSCG00000004524	c
1:100589849-100613174:+	57	ENSSSCG00000004524	c
1:100597459-100613174:+	15	ENSSSCG00000004524	c
1:103695962-103697703:-	6	ENSSSCG00000004528	c
1:103798187-103815098:+	27	ENSSSCG00000004529	c
1:103798187-103817157:+	6	ENSSSCG00000004529	c
1:103842465-103846254:-	25	ENSSSCG00000004530	c
1:103865238-103876985:+	23	ENSSSCG00000004531	c
1:103867754-103876985:+	11	ENSSSCG00000004531	c
1:105981848-106000228:-	5	ENSSSCG00000004537	c
1:105985061-106000228:-	6	ENSSSCG00000004537	c
1:105987821-106000228:-	15	ENSSSCG00000004537	c
1:105998540-106000228:-	5	ENSSSCG00000004537	c
1:106082310-106084251:+	5	ENSSSCG00000004538	c
1:106084105-106085343:+	7	ENSSSCG00000004538	c
1:106089772-106114505:+	5	ENSSSCG00000004538	c
1:106089772-106091861:+	10	ENSSSCG00000004538	c
1:106148089-106150609:+	23	ENSSSCG00000004538	c
1:106150520-106171073:+	150	ENSSSCG00000004538	c
1:106150520-106203227:+	31	ENSSSCG00000004538	c
1:106150520-106260708:+	7	ENSSSCG00000004538	c
1:106167649-106171073:+	22	ENSSSCG00000004538	c
1:106167649-106203227:+	5	ENSSSCG00000004538	c
1:106302231-106339367:+	8	ENSSSCG00000004538	c
1:106302231-106317699:+	6	ENSSSCG00000004538	c
1:106866242-106877335:-	11	ENSSSCG00000004541	c
1:106913170-106917338:-	17	ENSSSCG00000004542	c
1:106913170-106916291:-	8	ENSSSCG00000004542	c
1:106917576-106921879:-	5	ENSSSCG00000004542	c
1:106923368-106924847:-	8	ENSSSCG00000004542	c
1:106976175-106988436:+	5	ENSSSCG00000004544, ENSSSCG00000004543	c
1:107015988-107025677:+	6	ENSSSCG00000004544	c
1:107028043-107031624:+	5	ENSSSCG00000004544	c
1:107615563-107633370:-	8	ENSSSCG00000004552	c
1:107615563-107619390:-	11	ENSSSCG00000004552	c
1:107627029-107639089:-	7	ENSSSCG00000004552	c
1:107630021-107639089:-	6	ENSSSCG00000004552	c
1:107763495-107763896:+	44	ENSSSCG00000004558	c
1:107843606-107847007:+	6	ENSSSCG00000004558	c
1:107957117-107957282:+	20	ENSSSCG00000034124	c
1:108248955-108249911:+	11	ENSSSCG00000004561	c
1:108257594-108268239:+	8	ENSSSCG00000004561	c
1:108367818-108374505:+	18	ENSSSCG00000004561	c
1:108367818-108371115:+	10	ENSSSCG00000004561	c
1:108385211-108386218:+	66	ENSSSCG00000004561	c
1:108459470-108486823:-	10	ENSSSCG00000028737	c
1:108755793-108756751:-	6	ENSSSCG00000032949, ENSSSCG00000026571	c
1:108919577-108922082:-	6	ENSSSCG00000004569	c
1:109384394-109402997:-	5	ENSSSCG00000024088	c
1:112351894-112364958:+	5	ENSSSCG00000004583	c
1:112924140-112928033:-	42	ENSSSCG00000004588	c
1:112924140-112939007:-	5	ENSSSCG00000004588	c
1:112967547-112974578:-	12	ENSSSCG00000004589	c
1:112973292-112974578:-	10	ENSSSCG00000004589	c
1:112985921-112996761:-	6	ENSSSCG00000004589	c
1:112996634-113013582:-	132	ENSSSCG00000004589	c
1:113012686-113013582:-	29	ENSSSCG00000004589	c
1:113127999-113128579:+	97	ENSSSCG00000004592	c
1:113199903-113238518:-	6	ENSSSCG00000024131	c
1:113972967-113989630:+	25	ENSSSCG00000025578	c
1:113987109-113989630:+	7	ENSSSCG00000025578	c
1:114716400-114727059:-	5	ENSSSCG00000004600	c
1:114737785-114740195:-	10	ENSSSCG00000004600	c
1:115244388-115263755:+	10	ENSSSCG00000026960	c
1:115263338-115263755:+	7	ENSSSCG00000026960	c
1:115553444-115585772:-	99	ENSSSCG00000004602	c
1:115553444-115595480:-	7	ENSSSCG00000004602	c
1:115553444-115579538:-	191	ENSSSCG00000004602	c
1:115575634-115579538:-	9	ENSSSCG00000004602	c
1:115575634-115595480:-	28	ENSSSCG00000004602	c
1:115575634-115585772:-	65	ENSSSCG00000004602	c
1:115734902-115820705:+	17	ENSSSCG00000004603	c
1:115791743-115820705:+	8	ENSSSCG00000004603	c
1:115818645-115820705:+	21	ENSSSCG00000004603	c
1:116401168-116425776:+	22	ENSSSCG00000004608	c
1:116401168-116427156:+	59	ENSSSCG00000004608	c
1:119246116-119252920:+	6	ENSSSCG00000004620	c
1:119275120-119287918:+	7	ENSSSCG00000004620	c
1:119275120-119278638:+	8	ENSSSCG00000004620	c
1:119275120-119280977:+	10	ENSSSCG00000004620	c
1:119372717-119384719:+	6	ENSSSCG00000004620	c
1:119728605-119728807:-	5	ENSSSCG00000004624	c
1:119735150-119740313:-	20	ENSSSCG00000004624	c
1:119738114-119740313:-	53	ENSSSCG00000004624	c
1:119739120-119740313:-	10	ENSSSCG00000004624	c
1:119905145-119909321:-	7	ENSSSCG00000004626	c
1:120176021-120185745:+	6	ENSSSCG00000032517	c
1:120525211-120663935:+	98	ENSSSCG00000030168	c
1:120914865-120933928:-	7	ENSSSCG00000004634	c
1:120915564-120933928:-	14	ENSSSCG00000004634	c
1:120922904-120933928:-	9	ENSSSCG00000004634	c
1:120926605-120933928:-	10	ENSSSCG00000004634	c
1:120928742-120933928:-	19	ENSSSCG00000004634	c
1:120933806-120943691:-	5	ENSSSCG00000004634	c
1:121160752-121168527:+	17	ENSSSCG00000004636	c
1:121160752-121179866:+	14	ENSSSCG00000004636	c
1:121168313-121176242:+	8	ENSSSCG00000004636	c
1:121172070-121178619:+	9	ENSSSCG00000004636	c
1:121192912-121197117:+	14	ENSSSCG00000004636	c
1:121213866-121216490:+	11	ENSSSCG00000004636	c
1:121217325-121230821:+	33	ENSSSCG00000004636	c
1:121330341-121335034:-	5	ENSSSCG00000004639	c
1:121343116-121348284:-	5	ENSSSCG00000004639	c
1:121357273-121360838:-	6	ENSSSCG00000004639	c
1:122149406-122174177:+	6	ENSSSCG00000004648	c
1:122155436-122189053:+	26	ENSSSCG00000004648	c
1:122157262-122160597:+	7	ENSSSCG00000004648	c
1:122160498-122189053:+	6	ENSSSCG00000004648	c
1:122426083-122444476:-	15	ENSSSCG00000004651	c
1:122426083-122514658:-	11	ENSSSCG00000004651	c
1:122494127-122514658:-	94	ENSSSCG00000004651	c
1:122494127-122498068:-	9	ENSSSCG00000004651	c
1:122494127-122533808:-	12	ENSSSCG00000004651	c
1:122565597-122565937:+	12	ENSSSCG00000004652	c
1:122651160-122652467:+	13	ENSSSCG00000004653	c
1:122962993-122967374:+	5	ENSSSCG00000004657	c
1:123607337-123610250:+	22	ENSSSCG00000004661	c
1:126674491-126678967:-	11	ENSSSCG00000004679	c
1:126786956-126792652:-	7	ENSSSCG00000004681	c
1:126791259-126792652:-	8	ENSSSCG00000004681	c
1:127053480-127059116:-	7	ENSSSCG00000035827	c
1:127066889-127068976:-	23	ENSSSCG00000035827	c
1:127175567-127177694:-	17	ENSSSCG00000023996	c
1:127175567-127207695:-	7	ENSSSCG00000023996	c
1:127195768-127196307:-	34	ENSSSCG00000023996	c
1:127200324-127207695:-	5	ENSSSCG00000023996	c
1:127746551-127748761:+	15	ENSSSCG00000040383	c
1:127787935-127788700:-	6	ENSSSCG00000004700	c
1:127803768-127806205:-	19	ENSSSCG00000004700	c
1:127821772-127822611:+	5	ENSSSCG00000004701	c
1:127821772-127827113:+	5	ENSSSCG00000004701	c
1:127876741-127878875:+	5	ENSSSCG00000004704	c
1:127998644-128008819:+	12	ENSSSCG00000031949	c
1:128003102-128003586:+	7	ENSSSCG00000031949	c
1:128003102-128008819:+	8	ENSSSCG00000031949	c
1:128008666-128008819:+	5	ENSSSCG00000031949	c
1:128064566-128074068:-	6	ENSSSCG00000004708	c
1:128288805-128295890:-	10	ENSSSCG00000004716	c
1:128372163-128373685:+	9	ENSSSCG00000004717	c
1:128372163-128377022:+	8	ENSSSCG00000004717	c
1:128374260-128377022:+	8	ENSSSCG00000004717	c
