chrom	start	end	strand	nb_ccr	circ_rna_name	exons_id_start	exons_id_end	transcript_id_start	transcript_id_end	gene_id_start	gene_id_end	intron_name	start_i	end_i	gene_id_i	exon_id_i	exon_id_ife	exons_start_end_ife	gene_id_ife
1	11584816	11596113	+	12	circRNA_15628	ENSSSCE00000033689_5_c_+	ENSSSCE00000033691_3_c_+	ENSSSCT00000031943	ENSSSCT00000031943	ENSSSCG00000024361	ENSSSCG00000024361								
1	11656689	11658867	-	10	circRNA_16462	ENSSSCE00000033680_3_c_-	ENSSSCE00000033679_5_c_-	ENSSSCT00000004494	ENSSSCT00000004494	ENSSSCG00000004065	ENSSSCG00000004065								
1	12056479	12061089	-	8	circRNA_7350	ENSSSCE00000033725_3_c_-	ENSSSCE00000033722_5_c_-	ENSSSCT00000004499	ENSSSCT00000004499	ENSSSCG00000004070	ENSSSCG00000004070								
1	12056479	12060454	-	9	circRNA_11905	ENSSSCE00000033725_3_c_-	ENSSSCE00000033723_5_c_-	ENSSSCT00000004499	ENSSSCT00000004499	ENSSSCG00000004070	ENSSSCG00000004070								
1	12071469	12086591	-	5	circRNA_13947	ENSSSCE00000033718_3_c_-	ENSSSCE00000033714_5_c_-	ENSSSCT00000004499	ENSSSCT00000004499	ENSSSCG00000004070	ENSSSCG00000004070								
1	12361986	12373696	+	6	circRNA_16400	ENSSSCE00000033734_5_c_+	ENSSSCE00000033737_3_c_+	ENSSSCT00000004500	ENSSSCT00000004500	ENSSSCG00000004071	ENSSSCG00000004071								
1	13452687	13456999	+	5	circRNA_9352	ENSSSCE00000033769_5_c_+	ENSSSCE00000033772_3_c_+	ENSSSCT00000004505	ENSSSCT00000004505	ENSSSCG00000004076	ENSSSCG00000004076								
1	13472924	13473642	+	8	circRNA_6406	ENSSSCE00000033775_5_c_+	ENSSSCE00000033775_3_c_+	ENSSSCT00000004506	ENSSSCT00000004506	ENSSSCG00000004077	ENSSSCG00000004077						ENSSSCE00000033775,ENSSSCE00000033775,ENSSSCE00000033775	13472924_13473642,13472924_13473642,13472924_13473642	ENSSSCG00000004077_+_c,ENSSSCG00000004077_+_c,ENSSSCG00000004077_+_c
1	14186644	14188834	+	5	circRNA_10006	ENSSSCE00000033875_5_c_+	ENSSSCE00000033876_3_c_+	ENSSSCT00000004511	ENSSSCT00000004511	ENSSSCG00000004082	ENSSSCG00000004082								
1	14800956	14801447	+	6	circRNA_12594	ENSSSCE00000033910_5_c_+	ENSSSCE00000033910_3_c_+	ENSSSCT00000004520	ENSSSCT00000004520	ENSSSCG00000004089	ENSSSCG00000004089						ENSSSCE00000033910,ENSSSCE00000033910,ENSSSCE00000033910	14800956_14801447,14800956_14801447,14800956_14801447	ENSSSCG00000004089_+_c,ENSSSCG00000004089_+_c,ENSSSCG00000004089_+_c
1	14813379	14817648	+	93	circRNA_352	ENSSSCE00000033912_5_c_+	ENSSSCE00000033914_3_c_+	ENSSSCT00000004520	ENSSSCT00000004520	ENSSSCG00000004089	ENSSSCG00000004089								
1	14813379	14838628	+	16	circRNA_9589	ENSSSCE00000033912_5_c_+	ENSSSCE00000033918_3_c_+	ENSSSCT00000004520	ENSSSCT00000004520	ENSSSCG00000004089	ENSSSCG00000004089								
1	14813379	14820309	+	5	circRNA_15512	ENSSSCE00000033912_5_c_+	ENSSSCE00000033915_3_c_+	ENSSSCT00000004520	ENSSSCT00000004520	ENSSSCG00000004089	ENSSSCG00000004089								
1	14813379	14851175	+	6	circRNA_16692	ENSSSCE00000033912_5_c_+	ENSSSCE00000033919_3_c_+	ENSSSCT00000004520	ENSSSCT00000066077	ENSSSCG00000004089	ENSSSCG00000004089								
1	14817547	14851175	+	9	circRNA_8500	ENSSSCE00000033914_5_c_+	ENSSSCE00000033919_3_c_+	ENSSSCT00000004520	ENSSSCT00000066077	ENSSSCG00000004089	ENSSSCG00000004089								
1	15310675	15313904	-	15	circRNA_6591	ENSSSCE00000214454_3_c_-,ENSSSCE00000398986_3_c_-	ENSSSCE00000191168_5_c_-	ENSSSCT00000004523,ENSSSCT00000059971	ENSSSCT00000004523	ENSSSCG00000004092,ENSSSCG00000004092	ENSSSCG00000004092								
1	16218320	16224015	-	5	circRNA_18045	ENSSSCE00000033996_3_c_-	ENSSSCE00000033994_5_c_-	ENSSSCT00000004538	ENSSSCT00000004538	ENSSSCG00000004103	ENSSSCG00000004103								
1	16307507	16307993	+	76	circRNA_1087	ENSSSCE00000034024_5_c_+	ENSSSCE00000034025_3_c_+	ENSSSCT00000004541	ENSSSCT00000004541	ENSSSCG00000004106	ENSSSCG00000004106								
1	16335744	16356103	+	5	circRNA_5582	ENSSSCE00000034000_5_c_+	ENSSSCE00000034005_3_c_+	ENSSSCT00000004539	ENSSSCT00000004539	ENSSSCG00000004104	ENSSSCG00000004104								
1	16366074	16371076	-	7	circRNA_6093	ENSSSCE00000173212_3_c_-	ENSSSCE00000034034_5_c_-	ENSSSCT00000031837	ENSSSCT00000031837	ENSSSCG00000030067	ENSSSCG00000030067								
1	16366074	16369805	-	8	circRNA_13457	ENSSSCE00000173212_3_c_-	ENSSSCE00000213436_5_c_-	ENSSSCT00000031837	ENSSSCT00000031837	ENSSSCG00000030067	ENSSSCG00000030067								
1	16368498	16374414	-	36	circRNA_6125	ENSSSCE00000369509_3_c_-	ENSSSCE00000034032_5_c_-	ENSSSCT00000031837	ENSSSCT00000031837	ENSSSCG00000030067	ENSSSCG00000030067								
1	16368498	16371076	-	8	circRNA_10219	ENSSSCE00000369509_3_c_-	ENSSSCE00000034034_5_c_-	ENSSSCT00000031837	ENSSSCT00000031837	ENSSSCG00000030067	ENSSSCG00000030067								
1	16369648	16374414	-	7	circRNA_10049	ENSSSCE00000213436_3_c_-	ENSSSCE00000034032_5_c_-	ENSSSCT00000031837	ENSSSCT00000031837	ENSSSCG00000030067	ENSSSCG00000030067								
1	16406040	16415727	+	5	circRNA_17225	ENSSSCE00000298296_5_c_+	ENSSSCE00000034026_3_c_+	ENSSSCT00000024741	ENSSSCT00000024741	ENSSSCG00000028867	ENSSSCG00000028867								
1	16406807	16413956	+	8	circRNA_7664	ENSSSCE00000168736_5_c_+	ENSSSCE00000217883_3_c_+	ENSSSCT00000024741	ENSSSCT00000024741	ENSSSCG00000028867	ENSSSCG00000028867								
1	16420172	16429248	+	13	circRNA_9051	ENSSSCE00000034027_5_c_+	ENSSSCE00000034029_3_c_+	ENSSSCT00000024741	ENSSSCT00000024741	ENSSSCG00000028867	ENSSSCG00000028867								
1	18437400	18464178	-	6	circRNA_9071	ENSSSCE00000034057_3_c_-	ENSSSCE00000034053_5_c_-	ENSSSCT00000004548	ENSSSCT00000004548	ENSSSCG00000004113	ENSSSCG00000004113								
1	18874153	18889491	-	17	circRNA_5396	ENSSSCE00000034087_3_c_-	ENSSSCE00000034082_5_c_-	ENSSSCT00000004549	ENSSSCT00000004549	ENSSSCG00000004114	ENSSSCG00000004114								
1	18889321	18904036	-	59	circRNA_2900	ENSSSCE00000034082_3_c_-	ENSSSCE00000189732_5_c_-	ENSSSCT00000004549	ENSSSCT00000004549	ENSSSCG00000004114	ENSSSCG00000004114								
1	18956800	18978518	-	7	circRNA_13371	ENSSSCE00000034091_3_c_-	ENSSSCE00000189411_5_c_-	ENSSSCT00000004549	ENSSSCT00000004549	ENSSSCG00000004114	ENSSSCG00000004114								
1	18974327	18988024	-	5	circRNA_15223	ENSSSCE00000168649_3_c_-	ENSSSCE00000235111_5_c_-	ENSSSCT00000004553	ENSSSCT00000004549	ENSSSCG00000004114	ENSSSCG00000004114								
1	18978279	18995804	-	18	circRNA_15640	ENSSSCE00000189411_3_c_-	ENSSSCE00000206139_5_c_-	ENSSSCT00000004549	ENSSSCT00000004549	ENSSSCG00000004114	ENSSSCG00000004114								
1	18987937	19005183	-	270	circRNA_708	ENSSSCE00000235111_3_c_-	ENSSSCE00000179004_5_c_-	ENSSSCT00000004549	ENSSSCT00000004549	ENSSSCG00000004114	ENSSSCG00000004114								
1	18987937	18999931	-	39	circRNA_1746	ENSSSCE00000235111_3_c_-	ENSSSCE00000242435_5_c_-	ENSSSCT00000004549	ENSSSCT00000004549	ENSSSCG00000004114	ENSSSCG00000004114								
1	19643978	19654272	+	5	circRNA_1284	ENSSSCE00000034129_5_c_+	ENSSSCE00000034131_3_c_+	ENSSSCT00000004555	ENSSSCT00000004555	ENSSSCG00000004120	ENSSSCG00000004120								
1	19643978	19659925	+	6	circRNA_10508	ENSSSCE00000034129_5_c_+	ENSSSCE00000034132_3_c_+	ENSSSCT00000004555	ENSSSCT00000004555	ENSSSCG00000004120	ENSSSCG00000004120								
1	19643978	19661031	+	12	circRNA_12932	ENSSSCE00000034129_5_c_+	ENSSSCE00000034133_3_c_+	ENSSSCT00000004555	ENSSSCT00000004555	ENSSSCG00000004120	ENSSSCG00000004120								
1	19688505	19689513	+	5	circRNA_11528	ENSSSCE00000034142_5_c_+	ENSSSCE00000034143_3_c_+	ENSSSCT00000004555	ENSSSCT00000004555	ENSSSCG00000004120	ENSSSCG00000004120								
1	19764590	19766628	+	7	circRNA_11367	ENSSSCE00000268684_5_c_+,ENSSSCE00000034146_5_c_+	ENSSSCE00000268684_3_c_+,ENSSSCE00000034146_3_c_+	ENSSSCT00000004556,ENSSSCT00000041085	ENSSSCT00000004556,ENSSSCT00000041085	ENSSSCG00000004121,ENSSSCG00000004121	ENSSSCG00000004121,ENSSSCG00000004121						ENSSSCE00000268684,ENSSSCE00000034146,ENSSSCE00000034146,ENSSSCE00000034146,ENSSSCE00000034146	19764590_19766628,19764590_19766628,19764590_19766628,19764590_19766628,19764590_19766628	ENSSSCG00000004121_+_c,ENSSSCG00000004121_+_c,ENSSSCG00000004121_+_c,ENSSSCG00000004121_+_c,ENSSSCG00000004121_+_c
1	20821001	20826456	-	9	circRNA_7523	ENSSSCE00000371255_3_c_-	ENSSSCE00000371826_5_c_-	ENSSSCT00000061166	ENSSSCT00000061166	ENSSSCG00000004123	ENSSSCG00000004123								
1	20908951	20913116	-	10	circRNA_2155	ENSSSCE00000174820_3_c_-	ENSSSCE00000233658_5_c_-	ENSSSCT00000061166	ENSSSCT00000061166	ENSSSCG00000004123	ENSSSCG00000004123								
1	21779718	21781094	-	5	circRNA_4811	ENSSSCE00000034258_3_c_-	ENSSSCE00000034255_5_c_-	ENSSSCT00000004569	ENSSSCT00000004569	ENSSSCG00000004134	ENSSSCG00000004134								
1	22697936	22706363	-	6	circRNA_16251	ENSSSCE00000034296_3_c_-	ENSSSCE00000034290_5_c_-	ENSSSCT00000004574	ENSSSCT00000004574	ENSSSCG00000004139	ENSSSCG00000004139								
1	22731267	22731891	-	6	circRNA_16523	ENSSSCE00000034285_3_c_-	ENSSSCE00000034285_5_c_-	ENSSSCT00000004574	ENSSSCT00000004574	ENSSSCG00000004139	ENSSSCG00000004139						ENSSSCE00000034285,ENSSSCE00000034285,ENSSSCE00000034285	22731267_22731891,22731267_22731891,22731267_22731891	ENSSSCG00000004139_-_c,ENSSSCG00000004139_-_c,ENSSSCG00000004139_-_c
1	22880594	22901667	-	56	circRNA_7127	ENSSSCE00000034307_3_c_-	ENSSSCE00000034303_5_c_-	ENSSSCT00000004575	ENSSSCT00000004575	ENSSSCG00000004140	ENSSSCG00000004140								
1	22891663	22901667	-	22	circRNA_964	ENSSSCE00000034306_3_c_-	ENSSSCE00000034303_5_c_-	ENSSSCT00000004575	ENSSSCT00000004575	ENSSSCG00000004140	ENSSSCG00000004140								
1	25523035	25528664	+	6	circRNA_4836	ENSSSCE00000034327_5_c_+	ENSSSCE00000034333_3_c_+	ENSSSCT00000004582	ENSSSCT00000004582	ENSSSCG00000004146	ENSSSCG00000004146								
1	25523035	25525358	+	6	circRNA_10585	ENSSSCE00000034327_5_c_+	ENSSSCE00000034329_3_c_+	ENSSSCT00000004582	ENSSSCT00000004582	ENSSSCG00000004146	ENSSSCG00000004146								
1	25526209	25528664	+	11	circRNA_12918	ENSSSCE00000034330_5_c_+	ENSSSCE00000034333_3_c_+	ENSSSCT00000004582	ENSSSCT00000004582	ENSSSCG00000004146	ENSSSCG00000004146								
1	26118818	26120866	-	6	circRNA_1749	ENSSSCE00000377051_3_c_-	ENSSSCE00000315018_5_c_-	ENSSSCT00000023062	ENSSSCT00000023062	ENSSSCG00000022968	ENSSSCG00000022968								
1	27450520	27478260	+	5	circRNA_14894	ENSSSCE00000251215_5_c_+	ENSSSCE00000034459_3_c_+	ENSSSCT00000025418	ENSSSCT00000025418	ENSSSCG00000026041	ENSSSCG00000026041								
1	29027847	29042644	+	27	circRNA_6617	ENSSSCE00000034551_5_c_+	ENSSSCE00000034558_3_c_+	ENSSSCT00000004608	ENSSSCT00000004608	ENSSSCG00000004169	ENSSSCG00000004169								
