gene_ID_ssc gene_ID_bta
ENSSSCG00000000265 ENSBTAG00000008934
ENSSSCG00000000267 ENSBTAG00000020177
ENSSSCG00000000268 ENSBTAG00000020179
ENSSSCG00000000271 ENSBTAG00000018524
ENSSSCG00000000272 ENSBTAG00000003021
ENSSSCG00000000273 ENSBTAG00000026916
ENSSSCG00000000273 ENSBTAG00000051235
ENSSSCG00000000274 ENSBTAG00000020757
ENSSSCG00000000275 ENSBTAG00000020758
ENSSSCG00000000276 ENSBTAG00000000435
ENSSSCG00000000277 ENSBTAG00000002401
ENSSSCG00000000278 ENSBTAG00000005863
ENSSSCG00000000279 ENSBTAG00000000923
ENSSSCG00000000281 ENSBTAG00000000924
ENSSSCG00000000288 ENSBTAG00000001553
ENSSSCG00000000289 ENSBTAG00000001562
ENSSSCG00000000290 ENSBTAG00000005384
ENSSSCG00000000292 ENSBTAG00000015604
ENSSSCG00000000293 ENSBTAG00000013745
ENSSSCG00000000295 ENSBTAG00000019686
ENSSSCG00000000297 ENSBTAG00000004337
ENSSSCG00000000298 ENSBTAG00000010907
ENSSSCG00000000299 ENSBTAG00000005120
ENSSSCG00000000312 ENSBTAG00000049751
ENSSSCG00000000312 ENSBTAG00000053229
ENSSSCG00000000312 ENSBTAG00000053772
ENSSSCG00000000318 ENSBTAG00000048372
ENSSSCG00000000318 ENSBTAG00000052908
ENSSSCG00000000327 ENSBTAG00000049016
ENSSSCG00000000327 ENSBTAG00000049219
ENSSSCG00000000327 ENSBTAG00000049581
ENSSSCG00000000327 ENSBTAG00000050381
ENSSSCG00000000332 ENSBTAG00000049016
ENSSSCG00000000332 ENSBTAG00000049219
ENSSSCG00000000332 ENSBTAG00000049581
ENSSSCG00000000332 ENSBTAG00000050381
ENSSSCG00000000333 ENSBTAG00000053837
ENSSSCG00000000359 ENSBTAG00000011918
ENSSSCG00000000361 ENSBTAG00000013625
ENSSSCG00000000362 ENSBTAG00000011927
ENSSSCG00000000363 ENSBTAG00000007417
ENSSSCG00000000364 ENSBTAG00000020662
ENSSSCG00000000365 ENSBTAG00000020663
ENSSSCG00000000366 ENSBTAG00000020664
ENSSSCG00000000367 ENSBTAG00000009049
ENSSSCG00000000368 ENSBTAG00000009051
ENSSSCG00000000370 ENSBTAG00000004018
ENSSSCG00000000371 ENSBTAG00000004019
ENSSSCG00000000376 ENSBTAG00000006160
ENSSSCG00000000377 ENSBTAG00000010451
ENSSSCG00000000379 ENSBTAG00000009543
ENSSSCG00000000382 ENSBTAG00000014697
ENSSSCG00000000383 ENSBTAG00000026754
ENSSSCG00000000384 ENSBTAG00000002798
ENSSSCG00000000385 ENSBTAG00000002799
ENSSSCG00000000386 ENSBTAG00000011762
ENSSSCG00000000393 ENSBTAG00000004376
ENSSSCG00000000394 ENSBTAG00000004374
ENSSSCG00000000396 ENSBTAG00000004380
ENSSSCG00000000398 ENSBTAG00000045969
ENSSSCG00000000399 ENSBTAG00000020459
ENSSSCG00000000400 ENSBTAG00000010127
ENSSSCG00000000401 ENSBTAG00000009284
ENSSSCG00000000402 ENSBTAG00000017830
ENSSSCG00000000403 ENSBTAG00000017840
ENSSSCG00000000405 ENSBTAG00000013315
ENSSSCG00000000406 ENSBTAG00000053054
ENSSSCG00000000411 ENSBTAG00000006324
ENSSSCG00000000413 ENSBTAG00000014655
ENSSSCG00000000415 ENSBTAG00000013443
ENSSSCG00000000418 ENSBTAG00000021807
ENSSSCG00000000419 ENSBTAG00000001392
ENSSSCG00000000419 ENSBTAG00000049081
ENSSSCG00000000419 ENSBTAG00000050051
ENSSSCG00000000431 ENSBTAG00000010616
ENSSSCG00000000433 ENSBTAG00000004494
ENSSSCG00000000435 ENSBTAG00000018003
ENSSSCG00000000436 ENSBTAG00000003942
ENSSSCG00000000437 ENSBTAG00000018403
ENSSSCG00000000439 ENSBTAG00000021336
ENSSSCG00000000442 ENSBTAG00000006599
ENSSSCG00000000443 ENSBTAG00000006631
ENSSSCG00000000444 ENSBTAG00000010624
ENSSSCG00000000449 ENSBTAG00000018002
ENSSSCG00000000453 ENSBTAG00000017543
ENSSSCG00000000455 ENSBTAG00000002227
ENSSSCG00000000456 ENSBTAG00000021287
ENSSSCG00000000457 ENSBTAG00000010428
ENSSSCG00000000458 ENSBTAG00000011068
ENSSSCG00000000462 ENSBTAG00000004753
ENSSSCG00000000464 ENSBTAG00000018861
ENSSSCG00000000466 ENSBTAG00000026962
ENSSSCG00000000469 ENSBTAG00000039435
ENSSSCG00000000473 ENSBTAG00000026993
ENSSSCG00000000475 ENSBTAG00000007636
ENSSSCG00000000477 ENSBTAG00000020806
ENSSSCG00000000478 ENSBTAG00000033726
ENSSSCG00000000482 ENSBTAG00000015407
ENSSSCG00000000483 ENSBTAG00000019738
ENSSSCG00000000486 ENSBTAG00000006911
ENSSSCG00000000487 ENSBTAG00000031919
ENSSSCG00000000488 ENSBTAG00000010422
ENSSSCG00000000492 ENSBTAG00000000198
ENSSSCG00000000492 ENSBTAG00000011941
ENSSSCG00000000492 ENSBTAG00000020564
ENSSSCG00000000492 ENSBTAG00000022971
ENSSSCG00000000492 ENSBTAG00000026088
ENSSSCG00000000492 ENSBTAG00000026322
ENSSSCG00000000492 ENSBTAG00000026323
ENSSSCG00000000492 ENSBTAG00000026779
ENSSSCG00000000492 ENSBTAG00000039170
ENSSSCG00000000492 ENSBTAG00000046511
ENSSSCG00000000492 ENSBTAG00000046628
ENSSSCG00000000492 ENSBTAG00000049929
ENSSSCG00000000492 ENSBTAG00000054492
ENSSSCG00000000493 ENSBTAG00000019155
ENSSSCG00000000496 ENSBTAG00000019156
ENSSSCG00000000499 ENSBTAG00000002931
ENSSSCG00000000500 ENSBTAG00000031950
ENSSSCG00000000502 ENSBTAG00000003748
ENSSSCG00000000504 ENSBTAG00000015296
ENSSSCG00000000509 ENSBTAG00000012267
ENSSSCG00000000510 ENSBTAG00000012272
ENSSSCG00000000512 ENSBTAG00000012828
ENSSSCG00000000515 ENSBTAG00000018575
ENSSSCG00000000516 ENSBTAG00000054123
ENSSSCG00000000517 ENSBTAG00000014859
ENSSSCG00000000519 ENSBTAG00000011590
ENSSSCG00000000521 ENSBTAG00000034985
ENSSSCG00000000522 ENSBTAG00000032360
ENSSSCG00000000522 ENSBTAG00000035643
ENSSSCG00000000523 ENSBTAG00000050467
ENSSSCG00000000527 ENSBTAG00000000606
ENSSSCG00000000528 ENSBTAG00000002651
ENSSSCG00000000530 ENSBTAG00000005453
ENSSSCG00000000531 ENSBTAG00000006734
ENSSSCG00000000534 ENSBTAG00000014106
ENSSSCG00000000536 ENSBTAG00000011096
ENSSSCG00000000540 ENSBTAG00000005365
ENSSSCG00000000541 ENSBTAG00000011095
ENSSSCG00000000545 ENSBTAG00000006372
ENSSSCG00000000546 ENSBTAG00000030622
ENSSSCG00000000547 ENSBTAG00000022083
ENSSSCG00000000549 ENSBTAG00000004283
ENSSSCG00000000551 ENSBTAG00000011804
ENSSSCG00000000553 ENSBTAG00000006985
ENSSSCG00000000554 ENSBTAG00000004532
ENSSSCG00000000555 ENSBTAG00000002313
ENSSSCG00000000559 ENSBTAG00000021980
ENSSSCG00000000563 ENSBTAG00000019711
ENSSSCG00000000567 ENSBTAG00000022360
ENSSSCG00000000570 ENSBTAG00000001673
ENSSSCG00000000571 ENSBTAG00000019294
ENSSSCG00000000573 ENSBTAG00000002551
ENSSSCG00000000576 ENSBTAG00000019603
ENSSSCG00000000576 ENSBTAG00000032217
ENSSSCG00000000577 ENSBTAG00000013333
ENSSSCG00000000579 ENSBTAG00000000379
ENSSSCG00000000580 ENSBTAG00000021083
ENSSSCG00000000582 ENSBTAG00000010530
ENSSSCG00000000583 ENSBTAG00000021078
ENSSSCG00000000584 ENSBTAG00000003282
ENSSSCG00000000585 ENSBTAG00000019602
ENSSSCG00000000587 ENSBTAG00000010818
ENSSSCG00000000588 ENSBTAG00000017571
ENSSSCG00000000590 ENSBTAG00000013202
ENSSSCG00000000591 ENSBTAG00000020715
ENSSSCG00000000598 ENSBTAG00000009444
ENSSSCG00000000599 ENSBTAG00000022167
ENSSSCG00000000600 ENSBTAG00000000369
ENSSSCG00000000601 ENSBTAG00000006256
ENSSSCG00000000602 ENSBTAG00000002174
ENSSSCG00000000605 ENSBTAG00000006036
ENSSSCG00000000607 ENSBTAG00000008352
ENSSSCG00000000610 ENSBTAG00000026610
ENSSSCG00000000612 ENSBTAG00000003221
ENSSSCG00000000614 ENSBTAG00000000219
ENSSSCG00000000619 ENSBTAG00000014322
ENSSSCG00000000623 ENSBTAG00000047225
ENSSSCG00000000625 ENSBTAG00000011761
ENSSSCG00000000633 ENSBTAG00000009663
ENSSSCG00000000634 ENSBTAG00000015351
ENSSSCG00000000635 ENSBTAG00000019235
ENSSSCG00000000636 ENSBTAG00000009252
ENSSSCG00000000638 ENSBTAG00000022861
ENSSSCG00000000639 ENSBTAG00000049823
ENSSSCG00000000639 ENSBTAG00000051183
ENSSSCG00000000640 ENSBTAG00000038843
ENSSSCG00000000640 ENSBTAG00000046268
ENSSSCG00000000640 ENSBTAG00000049367
ENSSSCG00000000640 ENSBTAG00000052486
ENSSSCG00000000640 ENSBTAG00000052514
ENSSSCG00000000640 ENSBTAG00000052658
ENSSSCG00000000640 ENSBTAG00000054018
ENSSSCG00000000640 ENSBTAG00000054633
ENSSSCG00000000642 ENSBTAG00000000966
ENSSSCG00000000642 ENSBTAG00000046389
ENSSSCG00000000645 ENSBTAG00000011765
ENSSSCG00000000647 ENSBTAG00000004547
ENSSSCG00000000648 ENSBTAG00000014546
ENSSSCG00000000649 ENSBTAG00000030424
ENSSSCG00000000650 ENSBTAG00000030423
ENSSSCG00000000651 ENSBTAG00000004293
ENSSSCG00000000653 ENSBTAG00000002135
ENSSSCG00000000656 ENSBTAG00000055140
ENSSSCG00000000657 ENSBTAG00000006851
ENSSSCG00000000657 ENSBTAG00000012026
ENSSSCG00000000657 ENSBTAG00000046324
ENSSSCG00000000657 ENSBTAG00000049487
ENSSSCG00000000659 ENSBTAG00000005243
ENSSSCG00000000660 ENSBTAG00000018137
ENSSSCG00000000661 ENSBTAG00000018205
ENSSSCG00000000663 ENSBTAG00000013640
ENSSSCG00000000664 ENSBTAG00000004097
ENSSSCG00000000665 ENSBTAG00000003291
ENSSSCG00000000667 ENSBTAG00000018849
ENSSSCG00000000668 ENSBTAG00000014683
ENSSSCG00000000669 ENSBTAG00000012171
ENSSSCG00000000669 ENSBTAG00000023192
ENSSSCG00000000672 ENSBTAG00000008129
ENSSSCG00000000679 ENSBTAG00000011273
ENSSSCG00000000680 ENSBTAG00000034385
ENSSSCG00000000681 ENSBTAG00000003598
ENSSSCG00000000682 ENSBTAG00000016043
ENSSSCG00000000683 ENSBTAG00000019777
ENSSSCG00000000684 ENSBTAG00000019780
ENSSSCG00000000685 ENSBTAG00000019782
ENSSSCG00000000687 ENSBTAG00000003255
ENSSSCG00000000688 ENSBTAG00000034295
ENSSSCG00000000690 ENSBTAG00000014931
ENSSSCG00000000691 ENSBTAG00000011111
ENSSSCG00000000692 ENSBTAG00000001099
ENSSSCG00000000693 ENSBTAG00000014730
ENSSSCG00000000694 ENSBTAG00000014731
ENSSSCG00000000695 ENSBTAG00000030369
ENSSSCG00000000696 ENSBTAG00000014733
ENSSSCG00000000697 ENSBTAG00000014734
ENSSSCG00000000699 ENSBTAG00000004541
ENSSSCG00000000700 ENSBTAG00000034246
ENSSSCG00000000702 ENSBTAG00000017072
ENSSSCG00000000703 ENSBTAG00000014603
ENSSSCG00000000704 ENSBTAG00000014728
ENSSSCG00000000705 ENSBTAG00000014725
ENSSSCG00000000706 ENSBTAG00000015312
ENSSSCG00000000707 ENSBTAG00000002631
ENSSSCG00000000708 ENSBTAG00000004211
ENSSSCG00000000709 ENSBTAG00000004208
ENSSSCG00000000712 ENSBTAG00000012265
ENSSSCG00000000716 ENSBTAG00000016646
ENSSSCG00000000718 ENSBTAG00000017378
ENSSSCG00000000719 ENSBTAG00000005465
ENSSSCG00000000720 ENSBTAG00000001020
ENSSSCG00000000721 ENSBTAG00000007556
ENSSSCG00000000722 ENSBTAG00000040065
ENSSSCG00000000723 ENSBTAG00000053303
ENSSSCG00000000728 ENSBTAG00000000275
ENSSSCG00000000730 ENSBTAG00000009447
ENSSSCG00000000732 ENSBTAG00000018940
ENSSSCG00000000734 ENSBTAG00000020699
ENSSSCG00000000735 ENSBTAG00000049163
ENSSSCG00000000736 ENSBTAG00000019788
ENSSSCG00000000737 ENSBTAG00000015879
ENSSSCG00000000738 ENSBTAG00000015878
ENSSSCG00000000739 ENSBTAG00000015875
ENSSSCG00000000740 ENSBTAG00000030325
ENSSSCG00000000741 ENSBTAG00000007611
ENSSSCG00000000742 ENSBTAG00000007609
ENSSSCG00000000743 ENSBTAG00000007605
ENSSSCG00000000745 ENSBTAG00000007093
ENSSSCG00000000746 ENSBTAG00000011902
ENSSSCG00000000748 ENSBTAG00000019058
ENSSSCG00000000749 ENSBTAG00000038415
ENSSSCG00000000751 ENSBTAG00000000049
ENSSSCG00000000753 ENSBTAG00000005221
ENSSSCG00000000754 ENSBTAG00000005225
ENSSSCG00000000755 ENSBTAG00000013658
ENSSSCG00000000757 ENSBTAG00000009050
ENSSSCG00000000759 ENSBTAG00000054367
ENSSSCG00000000760 ENSBTAG00000021995
ENSSSCG00000000764 ENSBTAG00000016995
ENSSSCG00000000765 ENSBTAG00000011067
ENSSSCG00000000766 ENSBTAG00000009704
ENSSSCG00000000767 ENSBTAG00000014238
ENSSSCG00000000769 ENSBTAG00000013988
ENSSSCG00000000770 ENSBTAG00000048271
ENSSSCG00000000774 ENSBTAG00000016661
ENSSSCG00000000777 ENSBTAG00000054647
ENSSSCG00000000778 ENSBTAG00000020914
ENSSSCG00000000779 ENSBTAG00000004832
ENSSSCG00000000781 ENSBTAG00000038043
ENSSSCG00000000783 ENSBTAG00000043962
ENSSSCG00000000784 ENSBTAG00000016260
ENSSSCG00000000789 ENSBTAG00000020679
ENSSSCG00000000791 ENSBTAG00000012624
ENSSSCG00000000793 ENSBTAG00000008595
ENSSSCG00000000795 ENSBTAG00000000395
ENSSSCG00000000798 ENSBTAG00000020938
ENSSSCG00000000799 ENSBTAG00000021105
ENSSSCG00000000800 ENSBTAG00000004718
ENSSSCG00000000801 ENSBTAG00000032148
ENSSSCG00000000802 ENSBTAG00000032183
ENSSSCG00000000804 ENSBTAG00000002902
ENSSSCG00000000806 ENSBTAG00000001810
ENSSSCG00000000808 ENSBTAG00000011105
ENSSSCG00000000810 ENSBTAG00000002025
ENSSSCG00000000811 ENSBTAG00000011838
ENSSSCG00000000816 ENSBTAG00000012423
ENSSSCG00000000820 ENSBTAG00000048712
ENSSSCG00000000820 ENSBTAG00000053875
ENSSSCG00000000837 ENSBTAG00000010644
ENSSSCG00000000838 ENSBTAG00000021875
ENSSSCG00000000839 ENSBTAG00000006326
ENSSSCG00000000840 ENSBTAG00000033735
ENSSSCG00000000841 ENSBTAG00000030784
ENSSSCG00000000842 ENSBTAG00000002693
ENSSSCG00000000843 ENSBTAG00000013912
ENSSSCG00000000844 ENSBTAG00000030744
ENSSSCG00000000844 ENSBTAG00000052123
ENSSSCG00000000846 ENSBTAG00000020933
ENSSSCG00000000847 ENSBTAG00000021633
ENSSSCG00000000848 ENSBTAG00000000925
ENSSSCG00000000849 ENSBTAG00000003362
ENSSSCG00000000853 ENSBTAG00000006013
ENSSSCG00000000854 ENSBTAG00000006010
ENSSSCG00000000856 ENSBTAG00000012794
ENSSSCG00000000857 ENSBTAG00000011082
ENSSSCG00000000858 ENSBTAG00000013008
ENSSSCG00000000859 ENSBTAG00000039709
ENSSSCG00000000860 ENSBTAG00000000022
ENSSSCG00000000862 ENSBTAG00000019409
ENSSSCG00000000863 ENSBTAG00000002492
ENSSSCG00000000864 ENSBTAG00000002490
ENSSSCG00000000866 ENSBTAG00000011392
ENSSSCG00000000867 ENSBTAG00000009904
ENSSSCG00000000869 ENSBTAG00000003239
ENSSSCG00000000870 ENSBTAG00000011883
ENSSSCG00000000871 ENSBTAG00000011525
ENSSSCG00000000873 ENSBTAG00000004145
ENSSSCG00000000874 ENSBTAG00000049308
ENSSSCG00000000875 ENSBTAG00000013596
ENSSSCG00000000877 ENSBTAG00000013859
ENSSSCG00000000883 ENSBTAG00000022199
ENSSSCG00000000884 ENSBTAG00000021661
ENSSSCG00000000886 ENSBTAG00000012890
ENSSSCG00000000887 ENSBTAG00000004240
ENSSSCG00000000890 ENSBTAG00000001894
ENSSSCG00000000891 ENSBTAG00000016415
ENSSSCG00000000892 ENSBTAG00000016276
ENSSSCG00000000893 ENSBTAG00000016275
ENSSSCG00000000894 ENSBTAG00000016274
ENSSSCG00000000895 ENSBTAG00000016271
ENSSSCG00000000896 ENSBTAG00000003183
ENSSSCG00000000900 ENSBTAG00000014044
ENSSSCG00000000901 ENSBTAG00000014030
ENSSSCG00000000902 ENSBTAG00000017729
ENSSSCG00000000905 ENSBTAG00000014669
ENSSSCG00000000905 ENSBTAG00000048722
ENSSSCG00000000906 ENSBTAG00000014375
ENSSSCG00000000907 ENSBTAG00000011245
ENSSSCG00000000908 ENSBTAG00000021767
ENSSSCG00000000910 ENSBTAG00000051267
ENSSSCG00000000915 ENSBTAG00000003505
ENSSSCG00000000916 ENSBTAG00000001745
ENSSSCG00000000917 ENSBTAG00000014340
ENSSSCG00000000918 ENSBTAG00000007990
ENSSSCG00000000920 ENSBTAG00000000687
ENSSSCG00000000924 ENSBTAG00000018180
ENSSSCG00000000925 ENSBTAG00000018743
ENSSSCG00000000926 ENSBTAG00000018745
ENSSSCG00000000926 ENSBTAG00000051348
ENSSSCG00000000927 ENSBTAG00000009023
ENSSSCG00000000932 ENSBTAG00000005305
ENSSSCG00000000934 ENSBTAG00000027900
ENSSSCG00000000936 ENSBTAG00000018432
ENSSSCG00000000937 ENSBTAG00000026972
ENSSSCG00000000939 ENSBTAG00000018694
ENSSSCG00000000940 ENSBTAG00000003036
ENSSSCG00000000941 ENSBTAG00000008382
ENSSSCG00000000943 ENSBTAG00000011336
ENSSSCG00000000948 ENSBTAG00000034693
ENSSSCG00000000950 ENSBTAG00000016931
ENSSSCG00000000951 ENSBTAG00000013406
ENSSSCG00000000952 ENSBTAG00000021756
ENSSSCG00000000955 ENSBTAG00000012291
ENSSSCG00000000958 ENSBTAG00000007256
ENSSSCG00000000959 ENSBTAG00000021953
ENSSSCG00000000960 ENSBTAG00000046800
ENSSSCG00000000963 ENSBTAG00000046298
ENSSSCG00000000964 ENSBTAG00000017925
ENSSSCG00000000965 ENSBTAG00000012607
ENSSSCG00000000967 ENSBTAG00000026467
ENSSSCG00000000968 ENSBTAG00000021337
ENSSSCG00000000970 ENSBTAG00000018660
ENSSSCG00000000971 ENSBTAG00000011000
ENSSSCG00000000972 ENSBTAG00000000650
ENSSSCG00000000973 ENSBTAG00000000647
ENSSSCG00000000974 ENSBTAG00000001931
ENSSSCG00000000975 ENSBTAG00000009297
ENSSSCG00000000978 ENSBTAG00000021626
ENSSSCG00000000980 ENSBTAG00000046173
ENSSSCG00000000981 ENSBTAG00000047801
ENSSSCG00000000982 ENSBTAG00000011098
ENSSSCG00000000983 ENSBTAG00000045808
ENSSSCG00000000985 ENSBTAG00000020215
ENSSSCG00000000991 ENSBTAG00000052132
ENSSSCG00000000994 ENSBTAG00000012058
ENSSSCG00000000997 ENSBTAG00000054777
ENSSSCG00000000998 ENSBTAG00000003332
ENSSSCG00000000999 ENSBTAG00000016397
ENSSSCG00000001000 ENSBTAG00000015178
ENSSSCG00000001001 ENSBTAG00000015176
ENSSSCG00000001002 ENSBTAG00000002086
ENSSSCG00000001004 ENSBTAG00000010943
ENSSSCG00000001008 ENSBTAG00000006379
ENSSSCG00000001009 ENSBTAG00000006378
ENSSSCG00000001010 ENSBTAG00000006166
ENSSSCG00000001011 ENSBTAG00000011975
ENSSSCG00000001021 ENSBTAG00000005980
ENSSSCG00000001022 ENSBTAG00000022731
ENSSSCG00000001022 ENSBTAG00000049696
