gene_ID_bta gene_ID_oar
ENSBTAG00000000568 ENSOARG00000014900
ENSBTAG00000000569 ENSOARG00000020422
ENSBTAG00000000570 ENSOARG00000003932
ENSBTAG00000000571 ENSOARG00000010472
ENSBTAG00000000573 ENSOARG00000016568
ENSBTAG00000000574 ENSOARG00000007107
ENSBTAG00000000575 ENSOARG00000005941
ENSBTAG00000000576 ENSOARG00000014408
ENSBTAG00000000578 ENSOARG00000006185
ENSBTAG00000000579 ENSOARG00000010580
ENSBTAG00000000580 ENSOARG00000006545
ENSBTAG00000000581 ENSOARG00000020437
ENSBTAG00000000582 ENSOARG00000005973
ENSBTAG00000000584 ENSOARG00000012639
ENSBTAG00000000585 ENSOARG00000005924
ENSBTAG00000000586 ENSOARG00000010431
ENSBTAG00000000588 ENSOARG00000015708
ENSBTAG00000000590 ENSOARG00000010629
ENSBTAG00000000593 ENSOARG00000020178
ENSBTAG00000000595 ENSOARG00000003428
ENSBTAG00000000597 ENSOARG00000015635
ENSBTAG00000000598 ENSOARG00000006202
ENSBTAG00000000599 ENSOARG00000017601
ENSBTAG00000000601 ENSOARG00000008335
ENSBTAG00000000602 ENSOARG00000008766
ENSBTAG00000000603 ENSOARG00000015207
ENSBTAG00000000604 ENSOARG00000012748
ENSBTAG00000000605 ENSOARG00000015187
ENSBTAG00000000606 ENSOARG00000019303
ENSBTAG00000000607 ENSOARG00000003658
ENSBTAG00000000608 ENSOARG00000006384
ENSBTAG00000000609 ENSOARG00000018866
ENSBTAG00000000611 ENSOARG00000001838
ENSBTAG00000000613 ENSOARG00000003168
ENSBTAG00000000616 ENSOARG00000012502
ENSBTAG00000000619 ENSOARG00000016946
ENSBTAG00000000620 ENSOARG00000017914
ENSBTAG00000000621 ENSOARG00000005588
ENSBTAG00000000622 ENSOARG00000013571
ENSBTAG00000000623 ENSOARG00000013595
ENSBTAG00000000625 ENSOARG00000018258
ENSBTAG00000000626 ENSOARG00000003419
ENSBTAG00000000629 ENSOARG00000011990
ENSBTAG00000000630 ENSOARG00000004475
ENSBTAG00000000632 ENSOARG00000007691
ENSBTAG00000000634 ENSOARG00000001940
ENSBTAG00000000634 ENSOARG00000002886
ENSBTAG00000000634 ENSOARG00000019048
ENSBTAG00000000638 ENSOARG00000013512
ENSBTAG00000000639 ENSOARG00000013556
ENSBTAG00000000640 ENSOARG00000002961
ENSBTAG00000000640 ENSOARG00000009373
ENSBTAG00000000641 ENSOARG00000007203
ENSBTAG00000000642 ENSOARG00000005576
ENSBTAG00000000644 ENSOARG00000000623
ENSBTAG00000000646 ENSOARG00000007172
ENSBTAG00000000647 ENSOARG00000019752
ENSBTAG00000000648 ENSOARG00000014877
ENSBTAG00000000650 ENSOARG00000019756
ENSBTAG00000000653 ENSOARG00000000405
ENSBTAG00000000654 ENSOARG00000015684
ENSBTAG00000000655 ENSOARG00000008191
ENSBTAG00000000656 ENSOARG00000004215
ENSBTAG00000000660 ENSOARG00000000644
ENSBTAG00000000662 ENSOARG00000018945
ENSBTAG00000000664 ENSOARG00000020171
ENSBTAG00000000666 ENSOARG00000018849
ENSBTAG00000000667 ENSOARG00000018703
ENSBTAG00000000668 ENSOARG00000015127
ENSBTAG00000000670 ENSOARG00000006698
ENSBTAG00000000671 ENSOARG00000006651
ENSBTAG00000000672 ENSOARG00000013160
ENSBTAG00000000675 ENSOARG00000005330
ENSBTAG00000000676 ENSOARG00000007379
ENSBTAG00000000678 ENSOARG00000020034
ENSBTAG00000000679 ENSOARG00000007448
ENSBTAG00000000682 ENSOARG00000016418
ENSBTAG00000000683 ENSOARG00000014521
ENSBTAG00000000684 ENSOARG00000002916
ENSBTAG00000000686 ENSOARG00000012305
ENSBTAG00000000687 ENSOARG00000015648
ENSBTAG00000000690 ENSOARG00000021066
ENSBTAG00000000694 ENSOARG00000017185
ENSBTAG00000000695 ENSOARG00000009390
ENSBTAG00000000696 ENSOARG00000017258
ENSBTAG00000000697 ENSOARG00000017435
ENSBTAG00000000698 ENSOARG00000019120
ENSBTAG00000000699 ENSOARG00000008634
ENSBTAG00000000700 ENSOARG00000008298
ENSBTAG00000000703 ENSOARG00000020956
ENSBTAG00000000704 ENSOARG00000001578
ENSBTAG00000000705 ENSOARG00000007463
ENSBTAG00000000705 ENSOARG00000017809
ENSBTAG00000000706 ENSOARG00000014898
ENSBTAG00000000707 ENSOARG00000005511
ENSBTAG00000000710 ENSOARG00000012106
ENSBTAG00000000711 ENSOARG00000005421
ENSBTAG00000000712 ENSOARG00000005690
ENSBTAG00000000713 ENSOARG00000016812
ENSBTAG00000000715 ENSOARG00000001288
ENSBTAG00000000715 ENSOARG00000001589
ENSBTAG00000000715 ENSOARG00000001645
ENSBTAG00000000717 ENSOARG00000008281
ENSBTAG00000000718 ENSOARG00000013786
ENSBTAG00000000719 ENSOARG00000001351
ENSBTAG00000000719 ENSOARG00000001358
ENSBTAG00000000719 ENSOARG00000001373
ENSBTAG00000000719 ENSOARG00000018592
ENSBTAG00000000719 ENSOARG00000018641
ENSBTAG00000000720 ENSOARG00000008683
ENSBTAG00000000721 ENSOARG00000004365
ENSBTAG00000000725 ENSOARG00000001803
ENSBTAG00000000727 ENSOARG00000010584
ENSBTAG00000000728 ENSOARG00000001732
ENSBTAG00000000730 ENSOARG00000006362
ENSBTAG00000000731 ENSOARG00000003275
ENSBTAG00000000735 ENSOARG00000015167
ENSBTAG00000000736 ENSOARG00000006261
ENSBTAG00000000737 ENSOARG00000020971
ENSBTAG00000000738 ENSOARG00000008706
ENSBTAG00000000742 ENSOARG00000008268
ENSBTAG00000000743 ENSOARG00000010345
ENSBTAG00000000744 ENSOARG00000010351
ENSBTAG00000000745 ENSOARG00000007775
ENSBTAG00000000746 ENSOARG00000015796
ENSBTAG00000000748 ENSOARG00000004910
ENSBTAG00000000749 ENSOARG00000019975
ENSBTAG00000000750 ENSOARG00000007980
ENSBTAG00000000751 ENSOARG00000004761
ENSBTAG00000000752 ENSOARG00000014430
ENSBTAG00000000752 ENSOARG00000015824
ENSBTAG00000000753 ENSOARG00000010988
ENSBTAG00000000754 ENSOARG00000010759
ENSBTAG00000000755 ENSOARG00000011529
ENSBTAG00000000758 ENSOARG00000010628
ENSBTAG00000000764 ENSOARG00000005478
ENSBTAG00000000765 ENSOARG00000017067
ENSBTAG00000000767 ENSOARG00000016039
ENSBTAG00000000770 ENSOARG00000009895
ENSBTAG00000000771 ENSOARG00000007460
ENSBTAG00000000772 ENSOARG00000018776
ENSBTAG00000000773 ENSOARG00000016911
ENSBTAG00000000778 ENSOARG00000009343
ENSBTAG00000000781 ENSOARG00000013203
ENSBTAG00000000782 ENSOARG00000001060
ENSBTAG00000000783 ENSOARG00000011111
ENSBTAG00000000784 ENSOARG00000018079
ENSBTAG00000000785 ENSOARG00000018016
ENSBTAG00000000786 ENSOARG00000001753
ENSBTAG00000000789 ENSOARG00000017998
ENSBTAG00000000791 ENSOARG00000000817
ENSBTAG00000000792 ENSOARG00000014312
ENSBTAG00000000793 ENSOARG00000000744
ENSBTAG00000000795 ENSOARG00000000968
ENSBTAG00000000797 ENSOARG00000021042
ENSBTAG00000000799 ENSOARG00000006046
ENSBTAG00000000801 ENSOARG00000003315
ENSBTAG00000000802 ENSOARG00000011072
ENSBTAG00000000803 ENSOARG00000003308
ENSBTAG00000000804 ENSOARG00000014651
ENSBTAG00000000805 ENSOARG00000006825
ENSBTAG00000000806 ENSOARG00000014098
ENSBTAG00000000807 ENSOARG00000014994
ENSBTAG00000000808 ENSOARG00000016862
ENSBTAG00000000809 ENSOARG00000005781
ENSBTAG00000000810 ENSOARG00000010422
ENSBTAG00000000811 ENSOARG00000002734
ENSBTAG00000000811 ENSOARG00000010119
ENSBTAG00000000812 ENSOARG00000012641
ENSBTAG00000000813 ENSOARG00000009936
ENSBTAG00000000815 ENSOARG00000012400
ENSBTAG00000000816 ENSOARG00000011272
ENSBTAG00000000817 ENSOARG00000004304
ENSBTAG00000000818 ENSOARG00000015782
ENSBTAG00000000819 ENSOARG00000013361
ENSBTAG00000000820 ENSOARG00000001101
ENSBTAG00000000821 ENSOARG00000017606
ENSBTAG00000000824 ENSOARG00000010361
ENSBTAG00000000825 ENSOARG00000015332
ENSBTAG00000000827 ENSOARG00000006793
ENSBTAG00000000828 ENSOARG00000017739
ENSBTAG00000000829 ENSOARG00000017156
ENSBTAG00000000830 ENSOARG00000003605
ENSBTAG00000000831 ENSOARG00000017318
ENSBTAG00000000833 ENSOARG00000017404
ENSBTAG00000000835 ENSOARG00000015051
ENSBTAG00000000836 ENSOARG00000016786
ENSBTAG00000000837 ENSOARG00000000811
ENSBTAG00000000838 ENSOARG00000011731
ENSBTAG00000000841 ENSOARG00000010671
ENSBTAG00000000842 ENSOARG00000018423
ENSBTAG00000000843 ENSOARG00000019706
ENSBTAG00000000845 ENSOARG00000018455
ENSBTAG00000000848 ENSOARG00000013949
ENSBTAG00000000851 ENSOARG00000018152
ENSBTAG00000000854 ENSOARG00000015547
ENSBTAG00000000855 ENSOARG00000011221
ENSBTAG00000000856 ENSOARG00000013926
ENSBTAG00000000857 ENSOARG00000013827
ENSBTAG00000000859 ENSOARG00000019508
ENSBTAG00000000868 ENSOARG00000006461
ENSBTAG00000000869 ENSOARG00000000201
ENSBTAG00000000871 ENSOARG00000017386
ENSBTAG00000000873 ENSOARG00000009082
ENSBTAG00000000874 ENSOARG00000017709
ENSBTAG00000000875 ENSOARG00000000080
ENSBTAG00000000878 ENSOARG00000013632
ENSBTAG00000000879 ENSOARG00000012570
ENSBTAG00000000880 ENSOARG00000002736
ENSBTAG00000000886 ENSOARG00000007319
ENSBTAG00000000888 ENSOARG00000007488
ENSBTAG00000000892 ENSOARG00000006104
ENSBTAG00000000893 ENSOARG00000005187
ENSBTAG00000000894 ENSOARG00000018803
ENSBTAG00000000895 ENSOARG00000018853
ENSBTAG00000000897 ENSOARG00000016888
ENSBTAG00000000898 ENSOARG00000016918
ENSBTAG00000000899 ENSOARG00000020133
ENSBTAG00000000900 ENSOARG00000015578
ENSBTAG00000000902 ENSOARG00000017339
ENSBTAG00000000905 ENSOARG00000008380
ENSBTAG00000000908 ENSOARG00000004602
ENSBTAG00000000910 ENSOARG00000006759
ENSBTAG00000000911 ENSOARG00000003500
ENSBTAG00000000911 ENSOARG00000004778
ENSBTAG00000000913 ENSOARG00000005560
ENSBTAG00000000914 ENSOARG00000013762
ENSBTAG00000000916 ENSOARG00000005088
ENSBTAG00000000917 ENSOARG00000010405
ENSBTAG00000000918 ENSOARG00000005097
ENSBTAG00000000919 ENSOARG00000007915
ENSBTAG00000000920 ENSOARG00000004141
ENSBTAG00000000923 ENSOARG00000016363
ENSBTAG00000000924 ENSOARG00000016352
ENSBTAG00000000925 ENSOARG00000016640
ENSBTAG00000000928 ENSOARG00000017557
ENSBTAG00000000933 ENSOARG00000001665
ENSBTAG00000000936 ENSOARG00000019711
ENSBTAG00000000937 ENSOARG00000016834
ENSBTAG00000000939 ENSOARG00000011950
ENSBTAG00000000941 ENSOARG00000015901
ENSBTAG00000000942 ENSOARG00000003327
ENSBTAG00000000943 ENSOARG00000016792
ENSBTAG00000000944 ENSOARG00000016205
ENSBTAG00000000945 ENSOARG00000010703
ENSBTAG00000000946 ENSOARG00000010901
ENSBTAG00000000948 ENSOARG00000016046
ENSBTAG00000000949 ENSOARG00000007522
