gene_ID_bta	gene_ID_oar	homology_type
ENSBTAG00000055136	ENSOARG00000024761	ortholog_one2one
ENSBTAG00000052546	ENSOARG00000022197	ortholog_one2one
ENSBTAG00000029790	ENSOARG00000021823	ortholog_one2one
ENSBTAG00000023462	ENSOARG00000014242	ortholog_one2one
ENSBTAG00000008142	ENSOARG00000006142	ortholog_one2one
ENSBTAG00000051592	ENSOARG00000020459	ortholog_one2one
ENSBTAG00000042519	ENSOARG00000021819	ortholog_one2one
ENSBTAG00000021106	ENSOARG00000004472	ortholog_one2one
ENSBTAG00000003260	ENSOARG00000014320	ortholog_one2one
ENSBTAG00000054606	ENSOARG00000022572	ortholog_one2one
ENSBTAG00000038903	ENSOARG00000019898	ortholog_one2one
ENSBTAG00000005827	ENSOARG00000010185	ortholog_one2one
ENSBTAG00000043933	ENSOARG00000024597	ortholog_one2one
ENSBTAG00000042438	ENSOARG00000024058	ortholog_one2many
ENSBTAG00000047944	ENSOARG00000012728	ortholog_one2one
ENSBTAG00000043314	ENSOARG00000025158	ortholog_one2one
ENSBTAG00000008140	ENSOARG00000006246	ortholog_one2one
ENSBTAG00000036375	ENSOARG00000023117	ortholog_one2one
ENSBTAG00000053415	ENSOARG00000021221	ortholog_one2one
ENSBTAG00000054836	ENSOARG00000017173	ortholog_one2one
ENSBTAG00000043670	ENSOARG00000023551	ortholog_one2one
ENSBTAG00000001862	ENSOARG00000003353	ortholog_one2one
ENSBTAG00000031747	ENSOARG00000000137	ortholog_one2one
ENSBTAG00000005110	ENSOARG00000000193	ortholog_one2one
ENSBTAG00000045422	ENSOARG00000023742	ortholog_one2one
ENSBTAG00000015769	ENSOARG00000005236	ortholog_one2one
ENSBTAG00000043694	ENSOARG00000024405	ortholog_one2one
ENSBTAG00000048192	ENSOARG00000015389	ortholog_one2one
ENSBTAG00000029820	ENSOARG00000022489	ortholog_one2one
ENSBTAG00000013117	ENSOARG00000015530	ortholog_one2one
ENSBTAG00000036396	ENSOARG00000025122	ortholog_one2one
ENSBTAG00000042743	ENSOARG00000022951	ortholog_one2one
ENSBTAG00000015723	ENSOARG00000001048	ortholog_one2one
ENSBTAG00000029651	ENSOARG00000023337	ortholog_one2one
ENSBTAG00000013205	ENSOARG00000020462	ortholog_one2one
ENSBTAG00000031753	ENSOARG00000000198	ortholog_one2one
ENSBTAG00000017835	ENSOARG00000018050	ortholog_one2one
ENSBTAG00000003097	ENSOARG00000014222	ortholog_one2one
ENSBTAG00000048146	ENSOARG00000022099	ortholog_one2one
ENSBTAG00000000494	ENSOARG00000007210	ortholog_one2one
ENSBTAG00000030017	ENSOARG00000024448	ortholog_one2one
ENSBTAG00000015647	ENSOARG00000003414	ortholog_one2one
ENSBTAG00000016542	ENSOARG00000013143	ortholog_one2one
ENSBTAG00000042266	ENSOARG00000025052	ortholog_one2one
ENSBTAG00000050578	ENSOARG00000022685	ortholog_one2many
ENSBTAG00000050578	ENSOARG00000023193	ortholog_one2many
ENSBTAG00000050578	ENSOARG00000022992	ortholog_one2many
ENSBTAG00000038206	ENSOARG00000022508	ortholog_one2one
ENSBTAG00000001881	ENSOARG00000021189	ortholog_one2one
ENSBTAG00000001522	ENSOARG00000005313	ortholog_one2many
ENSBTAG00000001522	ENSOARG00000020668	ortholog_one2many
ENSBTAG00000036222	ENSOARG00000012398	ortholog_one2many
ENSBTAG00000000966	ENSOARG00000021003	ortholog_one2one
ENSBTAG00000051246	ENSOARG00000006074	ortholog_one2many
ENSBTAG00000051246	ENSOARG00000017469	ortholog_one2many
ENSBTAG00000016505	ENSOARG00000011650	ortholog_one2one
ENSBTAG00000053769	ENSOARG00000021516	ortholog_one2one
