gene_ID_ssc	gene_ID_bta	homology_type
ENSSSCG00000015612	ENSBTAG00000002849	ortholog_one2one
ENSSSCG00000037310	ENSBTAG00000012117	ortholog_one2one
ENSSSCG00000045808	ENSBTAG00000016075	ortholog_one2one
ENSSSCG00000027147	ENSBTAG00000014246	ortholog_one2one
ENSSSCG00000041818	ENSBTAG00000049719	ortholog_many2many
ENSSSCG00000041818	ENSBTAG00000051379	ortholog_many2many
ENSSSCG00000007549	ENSBTAG00000017701	ortholog_one2one
ENSSSCG00000016609	ENSBTAG00000006674	ortholog_one2one
ENSSSCG00000002295	ENSBTAG00000001948	ortholog_one2one
ENSSSCG00000004453	ENSBTAG00000009355	ortholog_one2one
ENSSSCG00000012031	ENSBTAG00000039255	ortholog_one2one
ENSSSCG00000033421	ENSBTAG00000009458	ortholog_one2one
ENSSSCG00000000058	ENSBTAG00000006104	ortholog_one2many
ENSSSCG00000031816	ENSBTAG00000054679	ortholog_one2many
ENSSSCG00000051205	ENSBTAG00000010812	ortholog_one2one
ENSSSCG00000013162	ENSBTAG00000053501	ortholog_one2many
ENSSSCG00000017758	ENSBTAG00000013100	ortholog_one2one
ENSSSCG00000011635	ENSBTAG00000018508	ortholog_one2one
ENSSSCG00000009231	ENSBTAG00000045787	ortholog_one2one
ENSSSCG00000048368	ENSBTAG00000050226	ortholog_many2many
ENSSSCG00000048368	ENSBTAG00000054446	ortholog_many2many
ENSSSCG00000048368	ENSBTAG00000050511	ortholog_many2many
ENSSSCG00000007940	ENSBTAG00000047316	ortholog_one2one
ENSSSCG00000008823	ENSBTAG00000004888	ortholog_one2one
ENSSSCG00000014070	ENSBTAG00000018452	ortholog_one2one
ENSSSCG00000037463	ENSBTAG00000011045	ortholog_one2one
ENSSSCG00000038777	ENSBTAG00000051685	ortholog_one2one
ENSSSCG00000002296	ENSBTAG00000001950	ortholog_one2one
ENSSSCG00000037988	ENSBTAG00000049391	ortholog_one2one
ENSSSCG00000015250	ENSBTAG00000016857	ortholog_one2one
ENSSSCG00000005128	ENSBTAG00000008551	ortholog_one2one
ENSSSCG00000011636	ENSBTAG00000017659	ortholog_one2one
ENSSSCG00000008824	ENSBTAG00000004886	ortholog_one2one
ENSSSCG00000015613	ENSBTAG00000002848	ortholog_one2one
ENSSSCG00000048412	ENSBTAG00000054172	ortholog_one2many
ENSSSCG00000048412	ENSBTAG00000054332	ortholog_one2many
ENSSSCG00000048412	ENSBTAG00000050150	ortholog_one2many
ENSSSCG00000038050	ENSBTAG00000052415	ortholog_one2many
ENSSSCG00000016070	ENSBTAG00000007779	ortholog_one2one
ENSSSCG00000017304	ENSBTAG00000006943	ortholog_one2one
ENSSSCG00000050089	ENSBTAG00000052415	ortholog_one2many
ENSSSCG00000008397	ENSBTAG00000017448	ortholog_one2one
ENSSSCG00000014068	ENSBTAG00000006843	ortholog_one2one
ENSSSCG00000010647	ENSBTAG00000001242	ortholog_one2one
ENSSSCG00000011236	ENSBTAG00000011333	ortholog_one2one
ENSSSCG00000001676	ENSBTAG00000025554	ortholog_one2one
ENSSSCG00000041607	ENSBTAG00000052415	ortholog_one2many
ENSSSCG00000038956	ENSBTAG00000008688	ortholog_one2one
ENSSSCG00000007554	ENSBTAG00000007402	ortholog_one2one
ENSSSCG00000017320	ENSBTAG00000024942	ortholog_one2one
ENSSSCG00000003085	ENSBTAG00000020560	ortholog_one2one
ENSSSCG00000030421	ENSBTAG00000012125	ortholog_one2one
ENSSSCG00000010293	ENSBTAG00000009348	ortholog_one2one
ENSSSCG00000017764	ENSBTAG00000011988	ortholog_one2one
ENSSSCG00000040386	ENSBTAG00000044006	ortholog_one2one
ENSSSCG00000006621	ENSBTAG00000017564	ortholog_one2one
ENSSSCG00000009278	ENSBTAG00000048237	ortholog_one2one
ENSSSCG00000000059	ENSBTAG00000006103	ortholog_one2one
ENSSSCG00000002297	ENSBTAG00000012838	ortholog_one2one
ENSSSCG00000044981	ENSBTAG00000030908	ortholog_one2one
ENSSSCG00000032721	ENSBTAG00000002846	ortholog_one2one
ENSSSCG00000027294	ENSBTAG00000035556	ortholog_one2many
ENSSSCG00000027294	ENSBTAG00000023670	ortholog_one2many
ENSSSCG00000003662	ENSBTAG00000002983	ortholog_one2one
ENSSSCG00000015252	ENSBTAG00000013076	ortholog_one2one
ENSSSCG00000016961	ENSBTAG00000011046	ortholog_one2one
ENSSSCG00000009818	ENSBTAG00000020584	ortholog_one2one
ENSSSCG00000012280	ENSBTAG00000015820	ortholog_one2one
ENSSSCG00000048240	ENSBTAG00000036287	ortholog_one2one
ENSSSCG00000007555	ENSBTAG00000030721	ortholog_one2one
ENSSSCG00000031326	ENSBTAG00000020285	ortholog_many2many
ENSSSCG00000031326	ENSBTAG00000053550	ortholog_many2many
ENSSSCG00000031326	ENSBTAG00000040320	ortholog_many2many
ENSSSCG00000031326	ENSBTAG00000049504	ortholog_many2many
ENSSSCG00000031326	ENSBTAG00000002007	ortholog_many2many
ENSSSCG00000020749	ENSBTAG00000008125	ortholog_one2one
ENSSSCG00000009232	ENSBTAG00000002518	ortholog_one2one
ENSSSCG00000033627	ENSBTAG00000018967	ortholog_one2one
ENSSSCG00000033593	ENSBTAG00000017140	ortholog_one2one
ENSSSCG00000042511	ENSBTAG00000049717	ortholog_one2many
ENSSSCG00000042511	ENSBTAG00000052356	ortholog_one2many
ENSSSCG00000042511	ENSBTAG00000052628	ortholog_one2many
ENSSSCG00000007941	ENSBTAG00000018938	ortholog_one2one
ENSSSCG00000021966	ENSBTAG00000000526	ortholog_one2one
ENSSSCG00000035278	ENSBTAG00000039893	ortholog_one2one
ENSSSCG00000007557	ENSBTAG00000003049	ortholog_one2one
ENSSSCG00000010291	ENSBTAG00000009350	ortholog_one2one
ENSSSCG00000023460	ENSBTAG00000014538	ortholog_one2one
ENSSSCG00000009281	ENSBTAG00000001865	ortholog_one2one
ENSSSCG00000029468	ENSBTAG00000000376	ortholog_one2one
ENSSSCG00000013878	ENSBTAG00000016783	ortholog_one2one
ENSSSCG00000031882	ENSBTAG00000008909	ortholog_one2one
ENSSSCG00000004917	ENSBTAG00000027916	ortholog_one2one
ENSSSCG00000028317	ENSBTAG00000005633	ortholog_one2one
ENSSSCG00000002664	ENSBTAG00000009918	ortholog_one2one
ENSSSCG00000011995	ENSBTAG00000045590	ortholog_one2one
ENSSSCG00000003940	ENSBTAG00000005583	ortholog_one2one
ENSSSCG00000004452	ENSBTAG00000052055	ortholog_one2one
ENSSSCG00000016611	ENSBTAG00000005110	ortholog_one2one
ENSSSCG00000029059	ENSBTAG00000000375	ortholog_one2one
ENSSSCG00000000541	ENSBTAG00000011095	ortholog_one2one
ENSSSCG00000028007	ENSBTAG00000018969	ortholog_one2one
ENSSSCG00000007355	ENSBTAG00000007960	ortholog_one2one
ENSSSCG00000006214	ENSBTAG00000016716	ortholog_one2one
ENSSSCG00000007943	ENSBTAG00000010015	ortholog_one2one
ENSSSCG00000012283	ENSBTAG00000005866	ortholog_one2one
ENSSSCG00000006622	ENSBTAG00000021289	ortholog_one2one
ENSSSCG00000025303	ENSBTAG00000033032	ortholog_one2one
ENSSSCG00000009233	ENSBTAG00000017592	ortholog_one2one
ENSSSCG00000010292	ENSBTAG00000032996	ortholog_one2one
ENSSSCG00000002298	ENSBTAG00000014334	ortholog_one2one
ENSSSCG00000034265	ENSBTAG00000047942	ortholog_one2one
ENSSSCG00000007558	ENSBTAG00000000642	ortholog_one2one
ENSSSCG00000013879	ENSBTAG00000016775	ortholog_one2one
ENSSSCG00000009817	ENSBTAG00000008948	ortholog_one2one
ENSSSCG00000004113	ENSBTAG00000021107	ortholog_one2one
ENSSSCG00000008826	ENSBTAG00000000137	ortholog_one2one
ENSSSCG00000016073	ENSBTAG00000020416	ortholog_one2one
ENSSSCG00000037867	ENSBTAG00000045852	ortholog_one2one
ENSSSCG00000035493	ENSBTAG00000001867	ortholog_one2one
ENSSSCG00000016963	ENSBTAG00000017011	ortholog_one2one
ENSSSCG00000039896	ENSBTAG00000034867	ortholog_one2one
ENSSSCG00000038366	ENSBTAG00000055257	ortholog_one2one
ENSSSCG00000022175	ENSBTAG00000018399	ortholog_one2one
ENSSSCG00000017306	ENSBTAG00000009987	ortholog_one2one
ENSSSCG00000017772	ENSBTAG00000012845	ortholog_one2one
ENSSSCG00000000061	ENSBTAG00000004009	ortholog_one2one
ENSSSCG00000038879	ENSBTAG00000038428	ortholog_one2one
ENSSSCG00000004454	ENSBTAG00000005681	ortholog_one2one
ENSSSCG00000003664	ENSBTAG00000047314	ortholog_one2one
ENSSSCG00000012284	ENSBTAG00000046774	ortholog_one2one
ENSSSCG00000015616	ENSBTAG00000015086	ortholog_one2one
ENSSSCG00000008398	ENSBTAG00000000545	ortholog_one2one
ENSSSCG00000033331	ENSBTAG00000049795	ortholog_many2many
ENSSSCG00000033331	ENSBTAG00000048665	ortholog_many2many
ENSSSCG00000033331	ENSBTAG00000052351	ortholog_many2many
ENSSSCG00000032675	ENSBTAG00000050892	ortholog_one2one
ENSSSCG00000044933	ENSBTAG00000055298	ortholog_many2many
ENSSSCG00000044933	ENSBTAG00000051651	ortholog_many2many
ENSSSCG00000044933	ENSBTAG00000054643	ortholog_many2many
ENSSSCG00000000062	ENSBTAG00000004004	ortholog_one2one
ENSSSCG00000007942	ENSBTAG00000018937	ortholog_one2one
ENSSSCG00000002191	ENSBTAG00000050433	ortholog_many2many
ENSSSCG00000002191	ENSBTAG00000048863	ortholog_many2many
ENSSSCG00000012285	ENSBTAG00000046069	ortholog_one2one
ENSSSCG00000014072	ENSBTAG00000026369	ortholog_one2one
ENSSSCG00000015253	ENSBTAG00000010032	ortholog_one2one
ENSSSCG00000017773	ENSBTAG00000009036	ortholog_one2one
ENSSSCG00000028203	ENSBTAG00000023411	ortholog_one2one
ENSSSCG00000001679	ENSBTAG00000018970	ortholog_one2one
ENSSSCG00000007356	ENSBTAG00000017584	ortholog_one2one
ENSSSCG00000003366	ENSBTAG00000040477	ortholog_one2one
ENSSSCG00000009283	ENSBTAG00000018300	ortholog_one2one
ENSSSCG00000000063	ENSBTAG00000005311	ortholog_one2one
ENSSSCG00000015618	ENSBTAG00000016542	ortholog_one2one
ENSSSCG00000038131	ENSBTAG00000034869	ortholog_one2one
ENSSSCG00000012666	ENSBTAG00000051996	ortholog_one2one
ENSSSCG00000037053	ENSBTAG00000046192	ortholog_one2one
ENSSSCG00000011721	ENSBTAG00000001465	ortholog_one2one
ENSSSCG00000047233	ENSBTAG00000055000	ortholog_one2one
ENSSSCG00000040264	ENSBTAG00000013697	ortholog_one2one
ENSSSCG00000023483	ENSBTAG00000008552	ortholog_one2one
ENSSSCG00000024232	ENSBTAG00000012448	ortholog_one2one
ENSSSCG00000004918	ENSBTAG00000014284	ortholog_one2one
ENSSSCG00000003941	ENSBTAG00000005580	ortholog_one2one
ENSSSCG00000034386	ENSBTAG00000001398	ortholog_one2one
ENSSSCG00000047914	ENSBTAG00000048817	ortholog_one2many
ENSSSCG00000047914	ENSBTAG00000054604	ortholog_one2many
ENSSSCG00000014073	ENSBTAG00000034138	ortholog_one2many
ENSSSCG00000014073	ENSBTAG00000015512	ortholog_one2many
ENSSSCG00000045014	ENSBTAG00000040008	ortholog_many2many
ENSSSCG00000045014	ENSBTAG00000054267	ortholog_many2many
ENSSSCG00000037514	ENSBTAG00000050691	ortholog_many2many
ENSSSCG00000037514	ENSBTAG00000053451	ortholog_many2many
ENSSSCG00000039778	ENSBTAG00000054810	ortholog_many2many
ENSSSCG00000039778	ENSBTAG00000004402	ortholog_many2many
ENSSSCG00000032557	ENSBTAG00000019603	ortholog_many2many
ENSSSCG00000032557	ENSBTAG00000032217	ortholog_many2many
ENSSSCG00000017307	ENSBTAG00000021916	ortholog_one2one
ENSSSCG00000001683	ENSBTAG00000006015	ortholog_one2one
ENSSSCG00000012661	ENSBTAG00000014770	ortholog_one2one
ENSSSCG00000036437	ENSBTAG00000040282	ortholog_one2one
ENSSSCG00000027275	ENSBTAG00000018397	ortholog_one2one
ENSSSCG00000009234	ENSBTAG00000014076	ortholog_one2one
ENSSSCG00000031592	ENSBTAG00000019187	ortholog_one2one
ENSSSCG00000034984	ENSBTAG00000021288	ortholog_one2one
ENSSSCG00000038615	ENSBTAG00000027980	ortholog_one2one
ENSSSCG00000029129	ENSBTAG00000015911	ortholog_one2one
ENSSSCG00000008400	ENSBTAG00000000542	ortholog_one2one
ENSSSCG00000000064	ENSBTAG00000006429	ortholog_one2one
ENSSSCG00000022874	ENSBTAG00000045574	ortholog_one2many
ENSSSCG00000022874	ENSBTAG00000010013	ortholog_one2many
ENSSSCG00000046253	ENSBTAG00000052223	ortholog_many2many
ENSSSCG00000046253	ENSBTAG00000054640	ortholog_many2many
ENSSSCG00000046253	ENSBTAG00000055007	ortholog_many2many
ENSSSCG00000046253	ENSBTAG00000053247	ortholog_many2many
ENSSSCG00000025981	ENSBTAG00000011854	ortholog_one2one
ENSSSCG00000031436	ENSBTAG00000031030	ortholog_one2many
ENSSSCG00000043897	ENSBTAG00000031025	ortholog_one2many
ENSSSCG00000038270	ENSBTAG00000054916	ortholog_many2many
ENSSSCG00000038270	ENSBTAG00000048686	ortholog_many2many
ENSSSCG00000017308	ENSBTAG00000002726	ortholog_one2one
ENSSSCG00000040328	ENSBTAG00000016773	ortholog_one2one
ENSSSCG00000002668	ENSBTAG00000020836	ortholog_one2one
ENSSSCG00000038042	ENSBTAG00000018155	ortholog_one2many
ENSSSCG00000038042	ENSBTAG00000049836	ortholog_one2many
ENSSSCG00000032566	ENSBTAG00000017594	ortholog_one2one
ENSSSCG00000032959	ENSBTAG00000054868	ortholog_one2many
ENSSSCG00000007559	ENSBTAG00000019303	ortholog_one2one
ENSSSCG00000004456	ENSBTAG00000000679	ortholog_one2one
ENSSSCG00000015619	ENSBTAG00000016541	ortholog_one2one
ENSSSCG00000011941	ENSBTAG00000005787	ortholog_one2one
ENSSSCG00000016960	ENSBTAG00000002073	ortholog_one2one
ENSSSCG00000012648	ENSBTAG00000047701	ortholog_one2one
ENSSSCG00000044152	ENSBTAG00000031025	ortholog_one2many
ENSSSCG00000031166	ENSBTAG00000013702	ortholog_one2one
ENSSSCG00000011640	ENSBTAG00000007273	ortholog_one2one
ENSSSCG00000049630	ENSBTAG00000015341	ortholog_one2one
ENSSSCG00000009290	ENSBTAG00000008888	ortholog_one2one
ENSSSCG00000025492	ENSBTAG00000000313	ortholog_one2one
ENSSSCG00000025441	ENSBTAG00000048127	ortholog_one2one
ENSSSCG00000051528	ENSBTAG00000050074	ortholog_many2many
ENSSSCG00000051528	ENSBTAG00000053206	ortholog_many2many
ENSSSCG00000051528	ENSBTAG00000053189	ortholog_many2many
ENSSSCG00000051528	ENSBTAG00000049182	ortholog_many2many
ENSSSCG00000051528	ENSBTAG00000054997	ortholog_many2many
ENSSSCG00000049702	ENSBTAG00000052223	ortholog_many2many
ENSSSCG00000049702	ENSBTAG00000054640	ortholog_many2many
ENSSSCG00000049702	ENSBTAG00000055007	ortholog_many2many
ENSSSCG00000049702	ENSBTAG00000053247	ortholog_many2many
ENSSSCG00000032751	ENSBTAG00000025767	ortholog_one2one
ENSSSCG00000016395	ENSBTAG00000021020	ortholog_one2one
ENSSSCG00000001689	ENSBTAG00000006016	ortholog_one2one
ENSSSCG00000034311	ENSBTAG00000031119	ortholog_one2many
ENSSSCG00000007560	ENSBTAG00000004676	ortholog_one2one
ENSSSCG00000002666	ENSBTAG00000020835	ortholog_one2one
ENSSSCG00000033194	ENSBTAG00000010668	ortholog_one2one
ENSSSCG00000045838	ENSBTAG00000052223	ortholog_many2many
ENSSSCG00000045838	ENSBTAG00000054640	ortholog_many2many
ENSSSCG00000045838	ENSBTAG00000055007	ortholog_many2many
ENSSSCG00000045838	ENSBTAG00000053247	ortholog_many2many
ENSSSCG00000017770	ENSBTAG00000017268	ortholog_one2one
ENSSSCG00000038996	ENSBTAG00000051784	ortholog_one2many
ENSSSCG00000050589	ENSBTAG00000031025	ortholog_one2many
ENSSSCG00000036568	ENSBTAG00000003914	ortholog_one2one
ENSSSCG00000041772	ENSBTAG00000049550	ortholog_one2many
ENSSSCG00000041772	ENSBTAG00000051670	ortholog_one2many
ENSSSCG00000030222	ENSBTAG00000016675	ortholog_one2one
ENSSSCG00000008406	ENSBTAG00000017469	ortholog_one2one
ENSSSCG00000025766	ENSBTAG00000014333	ortholog_one2one
ENSSSCG00000005436	ENSBTAG00000009976	ortholog_one2many
ENSSSCG00000005436	ENSBTAG00000001926	ortholog_one2many
ENSSSCG00000007944	ENSBTAG00000009201	ortholog_one2one
ENSSSCG00000006624	ENSBTAG00000008091	ortholog_one2one
ENSSSCG00000041140	ENSBTAG00000051905	ortholog_one2many
ENSSSCG00000011942	ENSBTAG00000003585	ortholog_one2one
ENSSSCG00000007359	ENSBTAG00000009165	ortholog_one2one
ENSSSCG00000037056	ENSBTAG00000018834	ortholog_one2one
ENSSSCG00000009236	ENSBTAG00000018151	ortholog_one2one
ENSSSCG00000003667	ENSBTAG00000013832	ortholog_one2one
ENSSSCG00000035082	ENSBTAG00000006423	ortholog_one2one
ENSSSCG00000023709	ENSBTAG00000024715	ortholog_one2one
ENSSSCG00000047247	ENSBTAG00000015338	ortholog_one2one
ENSSSCG00000007556	ENSBTAG00000000050	ortholog_one2one
ENSSSCG00000016346	ENSBTAG00000009548	ortholog_one2one
ENSSSCG00000025599	ENSBTAG00000031829	ortholog_one2many
ENSSSCG00000025599	ENSBTAG00000046593	ortholog_one2many
ENSSSCG00000002667	ENSBTAG00000002639	ortholog_one2one
ENSSSCG00000035833	ENSBTAG00000020074	ortholog_one2one
ENSSSCG00000001691	ENSBTAG00000009549	ortholog_one2one
ENSSSCG00000014074	ENSBTAG00000015519	ortholog_one2one
ENSSSCG00000011639	ENSBTAG00000044075	ortholog_one2one
ENSSSCG00000016959	ENSBTAG00000040001	ortholog_one2one
ENSSSCG00000037534	ENSBTAG00000020769	ortholog_one2one
ENSSSCG00000033453	ENSBTAG00000008021	ortholog_one2many
ENSSSCG00000033453	ENSBTAG00000045588	ortholog_one2many
ENSSSCG00000033453	ENSBTAG00000053806	ortholog_one2many
ENSSSCG00000017769	ENSBTAG00000046129	ortholog_one2one
ENSSSCG00000050412	ENSBTAG00000033437	ortholog_one2many
ENSSSCG00000014467	ENSBTAG00000054791	ortholog_many2many
ENSSSCG00000014467	ENSBTAG00000053432	ortholog_many2many
ENSSSCG00000014467	ENSBTAG00000054359	ortholog_many2many
ENSSSCG00000031221	ENSBTAG00000005103	ortholog_one2one
ENSSSCG00000005437	ENSBTAG00000020355	ortholog_one2many
ENSSSCG00000005437	ENSBTAG00000054703	ortholog_one2many
ENSSSCG00000007358	ENSBTAG00000016279	ortholog_one2one
ENSSSCG00000045161	ENSBTAG00000033437	ortholog_one2many
ENSSSCG00000010295	ENSBTAG00000000315	ortholog_one2one
ENSSSCG00000009821	ENSBTAG00000005345	ortholog_one2one
ENSSSCG00000017310	ENSBTAG00000012564	ortholog_one2one
ENSSSCG00000001692	ENSBTAG00000025571	ortholog_one2one
ENSSSCG00000003943	ENSBTAG00000016899	ortholog_one2one
ENSSSCG00000038766	ENSBTAG00000002474	ortholog_one2one
ENSSSCG00000031784	ENSBTAG00000050364	ortholog_one2many
ENSSSCG00000037958	ENSBTAG00000015109	ortholog_one2one
ENSSSCG00000004457	ENSBTAG00000000676	ortholog_one2one
ENSSSCG00000023716	ENSBTAG00000007239	ortholog_one2one
ENSSSCG00000035706	ENSBTAG00000030882	ortholog_one2one
ENSSSCG00000036503	ENSBTAG00000000905	ortholog_one2one
ENSSSCG00000025561	ENSBTAG00000046339	ortholog_one2one
ENSSSCG00000039428	ENSBTAG00000050364	ortholog_one2many
ENSSSCG00000036893	ENSBTAG00000006538	ortholog_one2one
ENSSSCG00000037025	ENSBTAG00000005434	ortholog_one2one
ENSSSCG00000004919	ENSBTAG00000005412	ortholog_one2one
ENSSSCG00000028934	ENSBTAG00000012747	ortholog_one2one
ENSSSCG00000035152	ENSBTAG00000016580	ortholog_one2one
ENSSSCG00000003369	ENSBTAG00000048308	ortholog_one2one
ENSSSCG00000022011	ENSBTAG00000032369	ortholog_one2one
ENSSSCG00000006001	ENSBTAG00000013165	ortholog_one2one
ENSSSCG00000015469	ENSBTAG00000020364	ortholog_one2one
ENSSSCG00000016613	ENSBTAG00000012128	ortholog_one2one
ENSSSCG00000026412	ENSBTAG00000001173	ortholog_one2one
ENSSSCG00000002669	ENSBTAG00000021176	ortholog_one2one
ENSSSCG00000021514	ENSBTAG00000000561	ortholog_one2one
ENSSSCG00000013223	ENSBTAG00000021125	ortholog_one2one
ENSSSCG00000007947	ENSBTAG00000009200	ortholog_one2one
ENSSSCG00000009820	ENSBTAG00000005347	ortholog_one2one
ENSSSCG00000040410	ENSBTAG00000015836	ortholog_one2one
ENSSSCG00000007360	ENSBTAG00000005733	ortholog_one2one
ENSSSCG00000025612	ENSBTAG00000014651	ortholog_one2one
ENSSSCG00000050088	ENSBTAG00000019038	ortholog_one2one
ENSSSCG00000024793	ENSBTAG00000009282	ortholog_one2one
ENSSSCG00000039761	ENSBTAG00000054059	ortholog_one2one
ENSSSCG00000050475	ENSBTAG00000051864	ortholog_one2one
ENSSSCG00000033036	ENSBTAG00000002782	ortholog_one2one
ENSSSCG00000039690	ENSBTAG00000051179	ortholog_many2many
ENSSSCG00000039690	ENSBTAG00000050576	ortholog_many2many
ENSSSCG00000039690	ENSBTAG00000054208	ortholog_many2many
ENSSSCG00000039690	ENSBTAG00000052809	ortholog_many2many
ENSSSCG00000039690	ENSBTAG00000054010	ortholog_many2many
ENSSSCG00000039690	ENSBTAG00000049144	ortholog_many2many
ENSSSCG00000016074	ENSBTAG00000031696	ortholog_one2one
ENSSSCG00000039946	ENSBTAG00000010562	ortholog_one2one
ENSSSCG00000026898	ENSBTAG00000019130	ortholog_one2one
ENSSSCG00000038440	ENSBTAG00000004200	ortholog_one2one
ENSSSCG00000000545	ENSBTAG00000006372	ortholog_one2one
ENSSSCG00000040445	ENSBTAG00000039731	ortholog_one2one
ENSSSCG00000009237	ENSBTAG00000005745	ortholog_one2one
ENSSSCG00000001695	ENSBTAG00000005339	ortholog_one2one
ENSSSCG00000005438	ENSBTAG00000019467	ortholog_one2one
ENSSSCG00000039363	ENSBTAG00000003551	ortholog_one2many
ENSSSCG00000009285	ENSBTAG00000053310	ortholog_one2one
ENSSSCG00000024008	ENSBTAG00000054704	ortholog_one2one
ENSSSCG00000028877	ENSBTAG00000018971	ortholog_one2one
ENSSSCG00000015255	ENSBTAG00000014224	ortholog_one2one
ENSSSCG00000000546	ENSBTAG00000030622	ortholog_one2one
ENSSSCG00000005440	ENSBTAG00000004996	ortholog_one2one
ENSSSCG00000014075	ENSBTAG00000003066	ortholog_one2one
ENSSSCG00000023653	ENSBTAG00000009199	ortholog_one2one
ENSSSCG00000003669	ENSBTAG00000013054	ortholog_one2one
ENSSSCG00000029064	ENSBTAG00000019618	ortholog_one2one
ENSSSCG00000025108	ENSBTAG00000019512	ortholog_one2one
