gene_ID_ssc gene_ID_oar
ENSSSCG00000000076 ENSOARG00000017466
ENSSSCG00000000077 ENSOARG00000017303
ENSSSCG00000000078 ENSOARG00000017238
ENSSSCG00000000079 ENSOARG00000017179
ENSSSCG00000000080 ENSOARG00000017108
ENSSSCG00000000081 ENSOARG00000017027
ENSSSCG00000000082 ENSOARG00000016884
ENSSSCG00000000084 ENSOARG00000016775
ENSSSCG00000000087 ENSOARG00000016603
ENSSSCG00000000091 ENSOARG00000016290
ENSSSCG00000000092 ENSOARG00000016145
ENSSSCG00000000093 ENSOARG00000016073
ENSSSCG00000000094 ENSOARG00000015976
ENSSSCG00000000095 ENSOARG00000015877
ENSSSCG00000000097 ENSOARG00000015745
ENSSSCG00000000103 ENSOARG00000015590
ENSSSCG00000000104 ENSOARG00000015489
ENSSSCG00000000105 ENSOARG00000015413
ENSSSCG00000000107 ENSOARG00000015331
ENSSSCG00000000108 ENSOARG00000015251
ENSSSCG00000000110 ENSOARG00000015125
ENSSSCG00000000111 ENSOARG00000015099
ENSSSCG00000000113 ENSOARG00000015015
ENSSSCG00000000114 ENSOARG00000014944
ENSSSCG00000000116 ENSOARG00000014692
ENSSSCG00000000117 ENSOARG00000014681
ENSSSCG00000000118 ENSOARG00000014561
ENSSSCG00000000119 ENSOARG00000014439
ENSSSCG00000000120 ENSOARG00000014355
ENSSSCG00000000130 ENSOARG00000019218
ENSSSCG00000000131 ENSOARG00000019231
ENSSSCG00000000132 ENSOARG00000019118
ENSSSCG00000000133 ENSOARG00000019145
ENSSSCG00000000135 ENSOARG00000019171
ENSSSCG00000000136 ENSOARG00000019095
ENSSSCG00000000137 ENSOARG00000019050
ENSSSCG00000000138 ENSOARG00000019026
ENSSSCG00000000139 ENSOARG00000018994
ENSSSCG00000000141 ENSOARG00000018926
ENSSSCG00000000142 ENSOARG00000018878
ENSSSCG00000000144 ENSOARG00000018848
ENSSSCG00000000145 ENSOARG00000018760
ENSSSCG00000000146 ENSOARG00000008975
ENSSSCG00000000148 ENSOARG00000018703
ENSSSCG00000000151 ENSOARG00000018657
ENSSSCG00000000152 ENSOARG00000018669
ENSSSCG00000000156 ENSOARG00000018147
ENSSSCG00000000157 ENSOARG00000018081
ENSSSCG00000000158 ENSOARG00000018008
ENSSSCG00000000159 ENSOARG00000018508
ENSSSCG00000000160 ENSOARG00000017955
ENSSSCG00000000161 ENSOARG00000017945
ENSSSCG00000000162 ENSOARG00000017890
ENSSSCG00000000164 ENSOARG00000017816
ENSSSCG00000000167 ENSOARG00000017726
ENSSSCG00000000169 ENSOARG00000017461
ENSSSCG00000000171 ENSOARG00000017359
ENSSSCG00000000174 ENSOARG00000019185
ENSSSCG00000000175 ENSOARG00000019182
ENSSSCG00000000176 ENSOARG00000019105
ENSSSCG00000000179 ENSOARG00000019094
ENSSSCG00000000182 ENSOARG00000002808
ENSSSCG00000000182 ENSOARG00000019064
ENSSSCG00000000183 ENSOARG00000019059
ENSSSCG00000000185 ENSOARG00000019034
ENSSSCG00000000186 ENSOARG00000018925
ENSSSCG00000000188 ENSOARG00000001635
ENSSSCG00000000188 ENSOARG00000001640
ENSSSCG00000000189 ENSOARG00000018920
ENSSSCG00000000190 ENSOARG00000018884
ENSSSCG00000000194 ENSOARG00000002051
ENSSSCG00000000197 ENSOARG00000018804
ENSSSCG00000000198 ENSOARG00000018798
ENSSSCG00000000199 ENSOARG00000001614
ENSSSCG00000000199 ENSOARG00000018754
ENSSSCG00000000202 ENSOARG00000018702
ENSSSCG00000000203 ENSOARG00000018744
ENSSSCG00000000204 ENSOARG00000018524
ENSSSCG00000000205 ENSOARG00000018625
ENSSSCG00000000206 ENSOARG00000018189
ENSSSCG00000000207 ENSOARG00000016522
ENSSSCG00000000209 ENSOARG00000018288
ENSSSCG00000000211 ENSOARG00000018171
ENSSSCG00000000212 ENSOARG00000018116
ENSSSCG00000000214 ENSOARG00000017957
ENSSSCG00000000215 ENSOARG00000017967
ENSSSCG00000000216 ENSOARG00000018049
ENSSSCG00000000217 ENSOARG00000018102
ENSSSCG00000000220 ENSOARG00000017381
ENSSSCG00000000223 ENSOARG00000017344
ENSSSCG00000000228 ENSOARG00000017269
ENSSSCG00000000231 ENSOARG00000017253
ENSSSCG00000000232 ENSOARG00000017242
ENSSSCG00000000233 ENSOARG00000017232
ENSSSCG00000000234 ENSOARG00000017224
ENSSSCG00000000235 ENSOARG00000017063
ENSSSCG00000000236 ENSOARG00000017035
ENSSSCG00000000238 ENSOARG00000017049
ENSSSCG00000000239 ENSOARG00000017113
ENSSSCG00000000239 ENSOARG00000017130
ENSSSCG00000000239 ENSOARG00000017148
ENSSSCG00000000239 ENSOARG00000017175
ENSSSCG00000000240 ENSOARG00000017098
ENSSSCG00000000241 ENSOARG00000017081
ENSSSCG00000000247 ENSOARG00000016956
ENSSSCG00000000248 ENSOARG00000016974
ENSSSCG00000000249 ENSOARG00000016930
ENSSSCG00000000250 ENSOARG00000016914
ENSSSCG00000000251 ENSOARG00000016900
ENSSSCG00000000252 ENSOARG00000016786
ENSSSCG00000000253 ENSOARG00000004351
ENSSSCG00000000253 ENSOARG00000016773
ENSSSCG00000000257 ENSOARG00000016642
ENSSSCG00000000258 ENSOARG00000016626
ENSSSCG00000000259 ENSOARG00000007518
ENSSSCG00000000259 ENSOARG00000016670
ENSSSCG00000000260 ENSOARG00000016688
ENSSSCG00000000261 ENSOARG00000016699
ENSSSCG00000000262 ENSOARG00000016712
ENSSSCG00000000263 ENSOARG00000016737
ENSSSCG00000000264 ENSOARG00000016615
ENSSSCG00000000265 ENSOARG00000016587
ENSSSCG00000000267 ENSOARG00000016542
ENSSSCG00000000268 ENSOARG00000016526
ENSSSCG00000000271 ENSOARG00000016492
ENSSSCG00000000272 ENSOARG00000016514
ENSSSCG00000000273 ENSOARG00000016479
ENSSSCG00000000274 ENSOARG00000016466
ENSSSCG00000000275 ENSOARG00000016453
ENSSSCG00000000276 ENSOARG00000016437
ENSSSCG00000000277 ENSOARG00000016425
ENSSSCG00000000278 ENSOARG00000016413
ENSSSCG00000000279 ENSOARG00000016363
ENSSSCG00000000281 ENSOARG00000016352
ENSSSCG00000000288 ENSOARG00000016240
ENSSSCG00000000289 ENSOARG00000016228
ENSSSCG00000000290 ENSOARG00000016220
ENSSSCG00000000292 ENSOARG00000016195
ENSSSCG00000000293 ENSOARG00000016181
ENSSSCG00000000295 ENSOARG00000016133
ENSSSCG00000000297 ENSOARG00000016104
ENSSSCG00000000298 ENSOARG00000016096
ENSSSCG00000000299 ENSOARG00000011771
ENSSSCG00000000312 ENSOARG00000018315
ENSSSCG00000000312 ENSOARG00000018333
ENSSSCG00000000318 ENSOARG00000005830
ENSSSCG00000000327 ENSOARG00000018181
ENSSSCG00000000332 ENSOARG00000018181
ENSSSCG00000000333 ENSOARG00000018217
ENSSSCG00000000359 ENSOARG00000011326
ENSSSCG00000000361 ENSOARG00000018161
ENSSSCG00000000362 ENSOARG00000011244
ENSSSCG00000000363 ENSOARG00000011231
ENSSSCG00000000364 ENSOARG00000011218
ENSSSCG00000000365 ENSOARG00000011134
ENSSSCG00000000366 ENSOARG00000011120
ENSSSCG00000000367 ENSOARG00000011042
ENSSSCG00000000368 ENSOARG00000010943
ENSSSCG00000000370 ENSOARG00000010838
ENSSSCG00000000371 ENSOARG00000010746
ENSSSCG00000000376 ENSOARG00000010575
ENSSSCG00000000377 ENSOARG00000005395
ENSSSCG00000000377 ENSOARG00000010335
ENSSSCG00000000379 ENSOARG00000010233
ENSSSCG00000000382 ENSOARG00000009931
ENSSSCG00000000383 ENSOARG00000009787
ENSSSCG00000000384 ENSOARG00000009774
ENSSSCG00000000385 ENSOARG00000009687
ENSSSCG00000000386 ENSOARG00000009586
ENSSSCG00000000393 ENSOARG00000009379
ENSSSCG00000000394 ENSOARG00000009402
ENSSSCG00000000396 ENSOARG00000009154
ENSSSCG00000000398 ENSOARG00000017938
ENSSSCG00000000399 ENSOARG00000008907
ENSSSCG00000000400 ENSOARG00000008796
ENSSSCG00000000401 ENSOARG00000008655
ENSSSCG00000000402 ENSOARG00000008570
ENSSSCG00000000403 ENSOARG00000008407
ENSSSCG00000000405 ENSOARG00000008306
ENSSSCG00000000406 ENSOARG00000008286
ENSSSCG00000000411 ENSOARG00000007713
ENSSSCG00000000413 ENSOARG00000007766
ENSSSCG00000000415 ENSOARG00000008058
ENSSSCG00000000418 ENSOARG00000007920
ENSSSCG00000000418 ENSOARG00000010440
ENSSSCG00000000419 ENSOARG00000008046
ENSSSCG00000000431 ENSOARG00000006388
ENSSSCG00000000433 ENSOARG00000005672
ENSSSCG00000000435 ENSOARG00000005874
ENSSSCG00000000436 ENSOARG00000006044
ENSSSCG00000000437 ENSOARG00000006591
ENSSSCG00000000439 ENSOARG00000006131
ENSSSCG00000000442 ENSOARG00000006779
ENSSSCG00000000443 ENSOARG00000006674
ENSSSCG00000000444 ENSOARG00000006304
ENSSSCG00000000449 ENSOARG00000005952
ENSSSCG00000000453 ENSOARG00000004820
ENSSSCG00000000455 ENSOARG00000004704
ENSSSCG00000000456 ENSOARG00000004681
ENSSSCG00000000457 ENSOARG00000004565
ENSSSCG00000000458 ENSOARG00000004366
ENSSSCG00000000462 ENSOARG00000004033
ENSSSCG00000000464 ENSOARG00000003650
ENSSSCG00000000466 ENSOARG00000003504
ENSSSCG00000000469 ENSOARG00000003051
ENSSSCG00000000473 ENSOARG00000002903
ENSSSCG00000000475 ENSOARG00000002799
ENSSSCG00000000477 ENSOARG00000002661
ENSSSCG00000000478 ENSOARG00000002380
ENSSSCG00000000482 ENSOARG00000001598
ENSSSCG00000000483 ENSOARG00000001333
ENSSSCG00000000486 ENSOARG00000000362
ENSSSCG00000000487 ENSOARG00000000866
ENSSSCG00000000488 ENSOARG00000000570
ENSSSCG00000000488 ENSOARG00000013821
ENSSSCG00000000492 ENSOARG00000000543
ENSSSCG00000000492 ENSOARG00000020393
ENSSSCG00000000492 ENSOARG00000020417
ENSSSCG00000000492 ENSOARG00000020429
ENSSSCG00000000492 ENSOARG00000020439
ENSSSCG00000000492 ENSOARG00000020476
ENSSSCG00000000492 ENSOARG00000020515
ENSSSCG00000000493 ENSOARG00000020339
ENSSSCG00000000496 ENSOARG00000006089
ENSSSCG00000000496 ENSOARG00000020314
ENSSSCG00000000499 ENSOARG00000020285
ENSSSCG00000000500 ENSOARG00000020251
ENSSSCG00000000502 ENSOARG00000020211
ENSSSCG00000000504 ENSOARG00000020158
ENSSSCG00000000509 ENSOARG00000014589
ENSSSCG00000000510 ENSOARG00000014625
ENSSSCG00000000512 ENSOARG00000014663
ENSSSCG00000000515 ENSOARG00000014716
ENSSSCG00000000516 ENSOARG00000014737
ENSSSCG00000000517 ENSOARG00000014754
ENSSSCG00000000519 ENSOARG00000014795
ENSSSCG00000000521 ENSOARG00000016700
ENSSSCG00000000522 ENSOARG00000000715
ENSSSCG00000000522 ENSOARG00000019978
ENSSSCG00000000523 ENSOARG00000014852
ENSSSCG00000000527 ENSOARG00000019303
ENSSSCG00000000528 ENSOARG00000019313
ENSSSCG00000000530 ENSOARG00000019356
ENSSSCG00000000531 ENSOARG00000019379
ENSSSCG00000000534 ENSOARG00000019534
ENSSSCG00000000536 ENSOARG00000019623
ENSSSCG00000000540 ENSOARG00000019588
ENSSSCG00000000541 ENSOARG00000019642
ENSSSCG00000000545 ENSOARG00000019677
ENSSSCG00000000546 ENSOARG00000019689
ENSSSCG00000000549 ENSOARG00000019722
ENSSSCG00000000550 ENSOARG00000019757
ENSSSCG00000000551 ENSOARG00000019779
ENSSSCG00000000553 ENSOARG00000019825
ENSSSCG00000000554 ENSOARG00000019829
ENSSSCG00000000555 ENSOARG00000019909
ENSSSCG00000000559 ENSOARG00000019973
ENSSSCG00000000563 ENSOARG00000020043
ENSSSCG00000000563 ENSOARG00000020047
ENSSSCG00000000567 ENSOARG00000020110
ENSSSCG00000000570 ENSOARG00000020155
ENSSSCG00000000571 ENSOARG00000020225
ENSSSCG00000000573 ENSOARG00000020278
ENSSSCG00000000576 ENSOARG00000016934
ENSSSCG00000000576 ENSOARG00000020280
ENSSSCG00000000577 ENSOARG00000020306
ENSSSCG00000000579 ENSOARG00000020337
ENSSSCG00000000580 ENSOARG00000020343
ENSSSCG00000000582 ENSOARG00000020369
ENSSSCG00000000583 ENSOARG00000020366
ENSSSCG00000000584 ENSOARG00000020390
ENSSSCG00000000585 ENSOARG00000020436
ENSSSCG00000000587 ENSOARG00000020470
ENSSSCG00000000588 ENSOARG00000020496
ENSSSCG00000000590 ENSOARG00000020514
ENSSSCG00000000591 ENSOARG00000020531
ENSSSCG00000000598 ENSOARG00000020594
ENSSSCG00000000599 ENSOARG00000012071
ENSSSCG00000000599 ENSOARG00000020598
ENSSSCG00000000600 ENSOARG00000020622
ENSSSCG00000000601 ENSOARG00000020651
ENSSSCG00000000602 ENSOARG00000020676
ENSSSCG00000000605 ENSOARG00000020712
ENSSSCG00000000607 ENSOARG00000020742
ENSSSCG00000000610 ENSOARG00000020256
ENSSSCG00000000612 ENSOARG00000020787
ENSSSCG00000000614 ENSOARG00000020802
ENSSSCG00000000619 ENSOARG00000020817
ENSSSCG00000000623 ENSOARG00000020888
ENSSSCG00000000625 ENSOARG00000020875
ENSSSCG00000000633 ENSOARG00000020919
ENSSSCG00000000634 ENSOARG00000020931
ENSSSCG00000000635 ENSOARG00000020936
ENSSSCG00000000636 ENSOARG00000020943
ENSSSCG00000000638 ENSOARG00000020980
ENSSSCG00000000639 ENSOARG00000020983
ENSSSCG00000000639 ENSOARG00000020985
ENSSSCG00000000640 ENSOARG00000000861
ENSSSCG00000000640 ENSOARG00000020964
ENSSSCG00000000640 ENSOARG00000020973
ENSSSCG00000000640 ENSOARG00000020990
ENSSSCG00000000640 ENSOARG00000020995
ENSSSCG00000000642 ENSOARG00000021002
ENSSSCG00000000642 ENSOARG00000021003
ENSSSCG00000000645 ENSOARG00000021009
ENSSSCG00000000647 ENSOARG00000021012
ENSSSCG00000000648 ENSOARG00000021015
ENSSSCG00000000649 ENSOARG00000021016
ENSSSCG00000000650 ENSOARG00000021020
ENSSSCG00000000651 ENSOARG00000021025
ENSSSCG00000000653 ENSOARG00000021063
ENSSSCG00000000656 ENSOARG00000021044
ENSSSCG00000000657 ENSOARG00000021049
ENSSSCG00000000657 ENSOARG00000021050
ENSSSCG00000000657 ENSOARG00000021054
ENSSSCG00000000657 ENSOARG00000021075
ENSSSCG00000000659 ENSOARG00000021090
ENSSSCG00000000660 ENSOARG00000000950
ENSSSCG00000000661 ENSOARG00000001523
ENSSSCG00000000663 ENSOARG00000001353
ENSSSCG00000000664 ENSOARG00000001682
ENSSSCG00000000665 ENSOARG00000001884
ENSSSCG00000000667 ENSOARG00000001982
ENSSSCG00000000668 ENSOARG00000002072
ENSSSCG00000000669 ENSOARG00000002084
ENSSSCG00000000672 ENSOARG00000004271
ENSSSCG00000000679 ENSOARG00000005332
ENSSSCG00000000680 ENSOARG00000006081
ENSSSCG00000000681 ENSOARG00000005885
ENSSSCG00000000682 ENSOARG00000005728
ENSSSCG00000000683 ENSOARG00000005652
ENSSSCG00000000684 ENSOARG00000005531
ENSSSCG00000000685 ENSOARG00000005428
ENSSSCG00000000687 ENSOARG00000006301
ENSSSCG00000000688 ENSOARG00000006528
ENSSSCG00000000690 ENSOARG00000006618
ENSSSCG00000000691 ENSOARG00000006906
ENSSSCG00000000692 ENSOARG00000006918
ENSSSCG00000000693 ENSOARG00000008036
ENSSSCG00000000694 ENSOARG00000007894
ENSSSCG00000000695 ENSOARG00000007751
ENSSSCG00000000696 ENSOARG00000007641
ENSSSCG00000000697 ENSOARG00000007398
ENSSSCG00000000699 ENSOARG00000020359
ENSSSCG00000000700 ENSOARG00000007217
ENSSSCG00000000702 ENSOARG00000007041
ENSSSCG00000000702 ENSOARG00000008826
ENSSSCG00000000703 ENSOARG00000008237
ENSSSCG00000000704 ENSOARG00000008253
ENSSSCG00000000705 ENSOARG00000008332
ENSSSCG00000000706 ENSOARG00000008343
ENSSSCG00000000707 ENSOARG00000008446
ENSSSCG00000000708 ENSOARG00000025177
ENSSSCG00000000709 ENSOARG00000008529
ENSSSCG00000000712 ENSOARG00000008752
ENSSSCG00000000716 ENSOARG00000009243
ENSSSCG00000000718 ENSOARG00000009335
ENSSSCG00000000719 ENSOARG00000009435
ENSSSCG00000000720 ENSOARG00000009557
ENSSSCG00000000721 ENSOARG00000009734
ENSSSCG00000000722 ENSOARG00000009844
ENSSSCG00000000723 ENSOARG00000000179
ENSSSCG00000000723 ENSOARG00000009922
ENSSSCG00000000728 ENSOARG00000010367
ENSSSCG00000000730 ENSOARG00000010553
ENSSSCG00000000732 ENSOARG00000010465
ENSSSCG00000000734 ENSOARG00000010623
ENSSSCG00000000735 ENSOARG00000010711
ENSSSCG00000000736 ENSOARG00000010808
ENSSSCG00000000737 ENSOARG00000010895
ENSSSCG00000000738 ENSOARG00000010979
ENSSSCG00000000739 ENSOARG00000011054
ENSSSCG00000000740 ENSOARG00000011141
ENSSSCG00000000741 ENSOARG00000011151
ENSSSCG00000000742 ENSOARG00000011256
ENSSSCG00000000743 ENSOARG00000011357
ENSSSCG00000000745 ENSOARG00000011452
ENSSSCG00000000746 ENSOARG00000011557
ENSSSCG00000000748 ENSOARG00000011662
ENSSSCG00000000749 ENSOARG00000011751
ENSSSCG00000000751 ENSOARG00000012050
ENSSSCG00000000753 ENSOARG00000012356
ENSSSCG00000000754 ENSOARG00000012465
ENSSSCG00000000755 ENSOARG00000012564
ENSSSCG00000000757 ENSOARG00000012807
ENSSSCG00000000759 ENSOARG00000012734
ENSSSCG00000000760 ENSOARG00000012944
ENSSSCG00000000764 ENSOARG00000013276
ENSSSCG00000000765 ENSOARG00000013218
ENSSSCG00000000766 ENSOARG00000013475
ENSSSCG00000000767 ENSOARG00000013489
ENSSSCG00000000769 ENSOARG00000013519
ENSSSCG00000000770 ENSOARG00000013607
ENSSSCG00000000774 ENSOARG00000019272
ENSSSCG00000000777 ENSOARG00000019149
ENSSSCG00000000778 ENSOARG00000020074
ENSSSCG00000000779 ENSOARG00000020036
ENSSSCG00000000781 ENSOARG00000020006
ENSSSCG00000000782 ENSOARG00000020000
ENSSSCG00000000783 ENSOARG00000019998
ENSSSCG00000000784 ENSOARG00000019970
ENSSSCG00000000789 ENSOARG00000019884
ENSSSCG00000000791 ENSOARG00000019839
ENSSSCG00000000793 ENSOARG00000019755
ENSSSCG00000000795 ENSOARG00000019717
ENSSSCG00000000798 ENSOARG00000019661
ENSSSCG00000000799 ENSOARG00000019678
ENSSSCG00000000800 ENSOARG00000019691
ENSSSCG00000000801 ENSOARG00000019645
ENSSSCG00000000802 ENSOARG00000019622
ENSSSCG00000000804 ENSOARG00000019578
ENSSSCG00000000806 ENSOARG00000019530
ENSSSCG00000000808 ENSOARG00000019480
ENSSSCG00000000810 ENSOARG00000017752
ENSSSCG00000000811 ENSOARG00000017729
ENSSSCG00000000816 ENSOARG00000019311
ENSSSCG00000000820 ENSOARG00000019280
ENSSSCG00000000837 ENSOARG00000016886
ENSSSCG00000000838 ENSOARG00000016898
ENSSSCG00000000839 ENSOARG00000017047
ENSSSCG00000000840 ENSOARG00000017159
ENSSSCG00000000841 ENSOARG00000017227
ENSSSCG00000000842 ENSOARG00000019211
ENSSSCG00000000843 ENSOARG00000016814
ENSSSCG00000000844 ENSOARG00000000468
ENSSSCG00000000844 ENSOARG00000016743
ENSSSCG00000000846 ENSOARG00000016730
ENSSSCG00000000847 ENSOARG00000016527
ENSSSCG00000000848 ENSOARG00000016640
ENSSSCG00000000849 ENSOARG00000016366
ENSSSCG00000000853 ENSOARG00000016164
ENSSSCG00000000854 ENSOARG00000015996
ENSSSCG00000000856 ENSOARG00000015870
ENSSSCG00000000857 ENSOARG00000015856
ENSSSCG00000000858 ENSOARG00000015772
ENSSSCG00000000859 ENSOARG00000015689
ENSSSCG00000000860 ENSOARG00000015613
ENSSSCG00000000862 ENSOARG00000015343
ENSSSCG00000000863 ENSOARG00000015258
ENSSSCG00000000864 ENSOARG00000015196
ENSSSCG00000000866 ENSOARG00000015112
ENSSSCG00000000867 ENSOARG00000015018
ENSSSCG00000000869 ENSOARG00000014722
ENSSSCG00000000870 ENSOARG00000015007
ENSSSCG00000000871 ENSOARG00000014402
ENSSSCG00000000873 ENSOARG00000014173
ENSSSCG00000000874 ENSOARG00000014017
ENSSSCG00000000875 ENSOARG00000013901
ENSSSCG00000000877 ENSOARG00000013666
ENSSSCG00000000883 ENSOARG00000017033
ENSSSCG00000000884 ENSOARG00000013137
ENSSSCG00000000886 ENSOARG00000012970
ENSSSCG00000000887 ENSOARG00000012899
ENSSSCG00000000890 ENSOARG00000012759
ENSSSCG00000000891 ENSOARG00000012264
ENSSSCG00000000892 ENSOARG00000012169
ENSSSCG00000000893 ENSOARG00000012060
ENSSSCG00000000894 ENSOARG00000011952
ENSSSCG00000000895 ENSOARG00000011853
ENSSSCG00000000896 ENSOARG00000011846
ENSSSCG00000000900 ENSOARG00000016016
ENSSSCG00000000901 ENSOARG00000015988
ENSSSCG00000000902 ENSOARG00000015967
ENSSSCG00000000905 ENSOARG00000015952
ENSSSCG00000000906 ENSOARG00000015940
ENSSSCG00000000907 ENSOARG00000015895
ENSSSCG00000000908 ENSOARG00000020093
ENSSSCG00000000910 ENSOARG00000015871
ENSSSCG00000000915 ENSOARG00000015737
ENSSSCG00000000916 ENSOARG00000015727
ENSSSCG00000000917 ENSOARG00000015715
ENSSSCG00000000918 ENSOARG00000015702
ENSSSCG00000000920 ENSOARG00000015648
ENSSSCG00000000924 ENSOARG00000015455
ENSSSCG00000000925 ENSOARG00000015472
ENSSSCG00000000926 ENSOARG00000015531
ENSSSCG00000000927 ENSOARG00000015575
ENSSSCG00000000932 ENSOARG00000015403
ENSSSCG00000000934 ENSOARG00000015359
ENSSSCG00000000936 ENSOARG00000015322
ENSSSCG00000000937 ENSOARG00000015159
ENSSSCG00000000939 ENSOARG00000015186
ENSSSCG00000000940 ENSOARG00000015220
ENSSSCG00000000941 ENSOARG00000015266
ENSSSCG00000000943 ENSOARG00000015089
ENSSSCG00000000948 ENSOARG00000015027
ENSSSCG00000000950 ENSOARG00000014941
ENSSSCG00000000951 ENSOARG00000014916
ENSSSCG00000000952 ENSOARG00000014899
ENSSSCG00000000955 ENSOARG00000019581
ENSSSCG00000000958 ENSOARG00000017820
ENSSSCG00000000959 ENSOARG00000018279
ENSSSCG00000000960 ENSOARG00000019917
ENSSSCG00000000963 ENSOARG00000019932
ENSSSCG00000000964 ENSOARG00000019869
ENSSSCG00000000965 ENSOARG00000019889
ENSSSCG00000000968 ENSOARG00000001121
ENSSSCG00000000968 ENSOARG00000002955
ENSSSCG00000000970 ENSOARG00000019844
ENSSSCG00000000971 ENSOARG00000019780
ENSSSCG00000000972 ENSOARG00000019756
ENSSSCG00000000973 ENSOARG00000019752
ENSSSCG00000000974 ENSOARG00000019739
ENSSSCG00000000975 ENSOARG00000019735
ENSSSCG00000000978 ENSOARG00000019692
ENSSSCG00000000980 ENSOARG00000019629
ENSSSCG00000000981 ENSOARG00000019646
ENSSSCG00000000982 ENSOARG00000019680
ENSSSCG00000000983 ENSOARG00000019662
ENSSSCG00000000985 ENSOARG00000003301
ENSSSCG00000000994 ENSOARG00000002773
ENSSSCG00000000998 ENSOARG00000018783
ENSSSCG00000000999 ENSOARG00000000065
ENSSSCG00000001000 ENSOARG00000000288
ENSSSCG00000001001 ENSOARG00000000354
ENSSSCG00000001002 ENSOARG00000000557
ENSSSCG00000001004 ENSOARG00000000859
ENSSSCG00000001009 ENSOARG00000001544
ENSSSCG00000001010 ENSOARG00000002439
ENSSSCG00000001011 ENSOARG00000002311
ENSSSCG00000001021 ENSOARG00000018168
ENSSSCG00000001022 ENSOARG00000018017
ENSSSCG00000001024 ENSOARG00000017747
ENSSSCG00000001025 ENSOARG00000017552
ENSSSCG00000001027 ENSOARG00000017264
ENSSSCG00000001033 ENSOARG00000016835
ENSSSCG00000001036 ENSOARG00000016395
ENSSSCG00000001038 ENSOARG00000015888
ENSSSCG00000001040 ENSOARG00000016030
ENSSSCG00000001041 ENSOARG00000015920
ENSSSCG00000001042 ENSOARG00000015688
ENSSSCG00000001045 ENSOARG00000014968
ENSSSCG00000001048 ENSOARG00000014611
ENSSSCG00000001049 ENSOARG00000014356
ENSSSCG00000001052 ENSOARG00000013835
ENSSSCG00000001053 ENSOARG00000013658
ENSSSCG00000001056 ENSOARG00000013253
ENSSSCG00000001057 ENSOARG00000013026
ENSSSCG00000001061 ENSOARG00000012666
ENSSSCG00000001062 ENSOARG00000012503
ENSSSCG00000001063 ENSOARG00000002253
ENSSSCG00000001063 ENSOARG00000012390
ENSSSCG00000001064 ENSOARG00000012220
ENSSSCG00000001065 ENSOARG00000012141
ENSSSCG00000001067 ENSOARG00000012020
ENSSSCG00000001068 ENSOARG00000011838
ENSSSCG00000001070 ENSOARG00000011736
ENSSSCG00000001073 ENSOARG00000010837
ENSSSCG00000001074 ENSOARG00000010531
ENSSSCG00000001075 ENSOARG00000010301
ENSSSCG00000001076 ENSOARG00000010155
ENSSSCG00000001078 ENSOARG00000009905
ENSSSCG00000001080 ENSOARG00000009595
ENSSSCG00000001083 ENSOARG00000009455
ENSSSCG00000001085 ENSOARG00000007485
ENSSSCG00000001087 ENSOARG00000007329
ENSSSCG00000001089 ENSOARG00000006871
ENSSSCG00000001090 ENSOARG00000006546
ENSSSCG00000001091 ENSOARG00000006230
ENSSSCG00000001092 ENSOARG00000005997
