gene_ID_ssc	gene_ID_oar	homology_type
ENSSSCG00000038250	ENSOARG00000003651	ortholog_one2one
ENSSSCG00000027147	ENSOARG00000005750	ortholog_one2one
ENSSSCG00000041818	ENSOARG00000011080	ortholog_many2many
ENSSSCG00000041818	ENSOARG00000010992	ortholog_many2many
ENSSSCG00000041818	ENSOARG00000010937	ortholog_many2many
ENSSSCG00000007549	ENSOARG00000005771	ortholog_one2one
ENSSSCG00000016609	ENSOARG00000000430	ortholog_one2one
ENSSSCG00000002295	ENSOARG00000021171	ortholog_one2one
ENSSSCG00000004453	ENSOARG00000007561	ortholog_one2one
ENSSSCG00000012031	ENSOARG00000001063	ortholog_one2one
ENSSSCG00000033421	ENSOARG00000012110	ortholog_one2one
ENSSSCG00000000058	ENSOARG00000019697	ortholog_many2many
ENSSSCG00000000058	ENSOARG00000018451	ortholog_many2many
ENSSSCG00000051205	ENSOARG00000015214	ortholog_one2one
ENSSSCG00000017758	ENSOARG00000001001	ortholog_one2one
ENSSSCG00000011635	ENSOARG00000008737	ortholog_one2one
ENSSSCG00000009231	ENSOARG00000003211	ortholog_one2one
ENSSSCG00000048368	ENSOARG00000015362	ortholog_many2many
ENSSSCG00000048368	ENSOARG00000015377	ortholog_many2many
ENSSSCG00000048368	ENSOARG00000015351	ortholog_many2many
ENSSSCG00000007940	ENSOARG00000003532	ortholog_one2one
ENSSSCG00000008823	ENSOARG00000017345	ortholog_one2one
ENSSSCG00000014070	ENSOARG00000004903	ortholog_one2one
ENSSSCG00000049221	ENSOARG00000003031	ortholog_one2many
ENSSSCG00000037463	ENSOARG00000005743	ortholog_one2one
ENSSSCG00000002296	ENSOARG00000021172	ortholog_one2one
ENSSSCG00000015250	ENSOARG00000015132	ortholog_one2one
ENSSSCG00000011636	ENSOARG00000008699	ortholog_one2one
ENSSSCG00000008824	ENSOARG00000017393	ortholog_one2one
ENSSSCG00000015613	ENSOARG00000004302	ortholog_one2one
ENSSSCG00000048412	ENSOARG00000010040	ortholog_one2many
ENSSSCG00000048412	ENSOARG00000015401	ortholog_one2many
ENSSSCG00000038050	ENSOARG00000001467	ortholog_one2many
ENSSSCG00000016070	ENSOARG00000014975	ortholog_one2one
ENSSSCG00000017304	ENSOARG00000011927	ortholog_one2one
ENSSSCG00000029403	ENSOARG00000010991	ortholog_one2one
ENSSSCG00000050089	ENSOARG00000001467	ortholog_one2many
ENSSSCG00000008397	ENSOARG00000002053	ortholog_one2one
ENSSSCG00000014068	ENSOARG00000004869	ortholog_one2one
ENSSSCG00000026422	ENSOARG00000018024	ortholog_one2one
ENSSSCG00000010647	ENSOARG00000013772	ortholog_one2one
ENSSSCG00000011236	ENSOARG00000016028	ortholog_one2one
ENSSSCG00000001676	ENSOARG00000007356	ortholog_one2one
ENSSSCG00000041607	ENSOARG00000001467	ortholog_one2many
ENSSSCG00000038956	ENSOARG00000020088	ortholog_one2one
ENSSSCG00000017320	ENSOARG00000010522	ortholog_one2one
ENSSSCG00000003085	ENSOARG00000009511	ortholog_one2one
ENSSSCG00000030421	ENSOARG00000004623	ortholog_one2one
ENSSSCG00000010293	ENSOARG00000007311	ortholog_one2one
ENSSSCG00000017764	ENSOARG00000001819	ortholog_one2one
ENSSSCG00000040386	ENSOARG00000011432	ortholog_one2one
ENSSSCG00000006621	ENSOARG00000021013	ortholog_one2one
ENSSSCG00000009278	ENSOARG00000013453	ortholog_one2one
ENSSSCG00000000059	ENSOARG00000009448	ortholog_one2many
ENSSSCG00000000059	ENSOARG00000018400	ortholog_one2many
ENSSSCG00000002297	ENSOARG00000021173	ortholog_one2one
ENSSSCG00000044981	ENSOARG00000012905	ortholog_one2one
ENSSSCG00000032721	ENSOARG00000012918	ortholog_one2one
ENSSSCG00000027294	ENSOARG00000008665	ortholog_one2one
ENSSSCG00000003662	ENSOARG00000020090	ortholog_one2one
ENSSSCG00000014286	ENSOARG00000013138	ortholog_one2one
ENSSSCG00000015252	ENSOARG00000015239	ortholog_one2one
ENSSSCG00000016961	ENSOARG00000005719	ortholog_one2one
ENSSSCG00000009818	ENSOARG00000015713	ortholog_one2one
ENSSSCG00000012280	ENSOARG00000012787	ortholog_one2one
ENSSSCG00000048240	ENSOARG00000002635	ortholog_one2one
ENSSSCG00000007555	ENSOARG00000006268	ortholog_one2one
ENSSSCG00000031326	ENSOARG00000002301	ortholog_many2many
ENSSSCG00000031326	ENSOARG00000009216	ortholog_many2many
ENSSSCG00000031326	ENSOARG00000009254	ortholog_many2many
ENSSSCG00000020749	ENSOARG00000013885	ortholog_one2one
ENSSSCG00000009232	ENSOARG00000003161	ortholog_one2one
ENSSSCG00000033627	ENSOARG00000007420	ortholog_one2one
ENSSSCG00000033593	ENSOARG00000018970	ortholog_one2one
ENSSSCG00000042511	ENSOARG00000010019	ortholog_one2one
ENSSSCG00000007941	ENSOARG00000003491	ortholog_one2one
ENSSSCG00000021966	ENSOARG00000008582	ortholog_one2one
ENSSSCG00000035278	ENSOARG00000010872	ortholog_one2one
ENSSSCG00000007557	ENSOARG00000005708	ortholog_one2one
ENSSSCG00000010291	ENSOARG00000007339	ortholog_one2one
ENSSSCG00000023460	ENSOARG00000020096	ortholog_one2one
ENSSSCG00000009281	ENSOARG00000013430	ortholog_one2one
ENSSSCG00000029468	ENSOARG00000009123	ortholog_one2one
ENSSSCG00000013878	ENSOARG00000016351	ortholog_one2one
ENSSSCG00000031882	ENSOARG00000002164	ortholog_one2one
ENSSSCG00000004917	ENSOARG00000005525	ortholog_one2one
ENSSSCG00000028317	ENSOARG00000004819	ortholog_one2one
ENSSSCG00000045015	ENSOARG00000015043	ortholog_one2one
ENSSSCG00000002664	ENSOARG00000011327	ortholog_one2one
ENSSSCG00000011995	ENSOARG00000001385	ortholog_one2one
ENSSSCG00000003940	ENSOARG00000000414	ortholog_one2one
ENSSSCG00000004452	ENSOARG00000019961	ortholog_one2one
ENSSSCG00000016611	ENSOARG00000000193	ortholog_one2one
ENSSSCG00000029059	ENSOARG00000009018	ortholog_one2one
ENSSSCG00000000541	ENSOARG00000019642	ortholog_one2one
ENSSSCG00000028007	ENSOARG00000007503	ortholog_one2one
ENSSSCG00000007355	ENSOARG00000001406	ortholog_one2many
ENSSSCG00000007355	ENSOARG00000008628	ortholog_one2many
ENSSSCG00000006214	ENSOARG00000017417	ortholog_one2one
ENSSSCG00000007943	ENSOARG00000003453	ortholog_one2one
ENSSSCG00000012283	ENSOARG00000012586	ortholog_one2one
ENSSSCG00000006622	ENSOARG00000021007	ortholog_one2one
ENSSSCG00000025303	ENSOARG00000004548	ortholog_one2one
ENSSSCG00000017305	ENSOARG00000012039	ortholog_one2one
ENSSSCG00000009233	ENSOARG00000003059	ortholog_one2one
ENSSSCG00000010292	ENSOARG00000007348	ortholog_one2one
ENSSSCG00000002298	ENSOARG00000021174	ortholog_one2one
ENSSSCG00000034265	ENSOARG00000018392	ortholog_one2one
ENSSSCG00000007558	ENSOARG00000005576	ortholog_one2one
ENSSSCG00000013879	ENSOARG00000016498	ortholog_one2one
ENSSSCG00000009817	ENSOARG00000015479	ortholog_one2one
ENSSSCG00000004113	ENSOARG00000002348	ortholog_one2one
ENSSSCG00000008826	ENSOARG00000017797	ortholog_one2one
ENSSSCG00000016073	ENSOARG00000015111	ortholog_one2one
ENSSSCG00000037867	ENSOARG00000003039	ortholog_one2one
ENSSSCG00000035493	ENSOARG00000013419	ortholog_one2one
ENSSSCG00000016963	ENSOARG00000005689	ortholog_one2one
ENSSSCG00000039896	ENSOARG00000007249	ortholog_one2one
ENSSSCG00000038366	ENSOARG00000015161	ortholog_one2one
ENSSSCG00000022175	ENSOARG00000018916	ortholog_one2one
ENSSSCG00000017306	ENSOARG00000011855	ortholog_one2one
ENSSSCG00000017772	ENSOARG00000002429	ortholog_one2one
ENSSSCG00000000061	ENSOARG00000018385	ortholog_one2one
ENSSSCG00000038879	ENSOARG00000009545	ortholog_one2one
ENSSSCG00000004454	ENSOARG00000007496	ortholog_one2one
ENSSSCG00000003664	ENSOARG00000020124	ortholog_one2one
ENSSSCG00000012284	ENSOARG00000012594	ortholog_one2one
ENSSSCG00000015616	ENSOARG00000013020	ortholog_one2one
ENSSSCG00000008398	ENSOARG00000002292	ortholog_one2one
ENSSSCG00000046524	ENSOARG00000006578	ortholog_one2one
ENSSSCG00000033331	ENSOARG00000008500	ortholog_many2many
ENSSSCG00000033331	ENSOARG00000011194	ortholog_many2many
ENSSSCG00000032675	ENSOARG00000014256	ortholog_one2one
ENSSSCG00000044933	ENSOARG00000008769	ortholog_many2many
ENSSSCG00000044933	ENSOARG00000008785	ortholog_many2many
ENSSSCG00000000062	ENSOARG00000018326	ortholog_one2one
ENSSSCG00000007942	ENSOARG00000003467	ortholog_one2one
ENSSSCG00000002191	ENSOARG00000019827	ortholog_one2many
ENSSSCG00000012285	ENSOARG00000012661	ortholog_one2one
ENSSSCG00000014072	ENSOARG00000004758	ortholog_one2one
ENSSSCG00000015253	ENSOARG00000014108	ortholog_one2one
ENSSSCG00000017773	ENSOARG00000002727	ortholog_one2one
ENSSSCG00000028203	ENSOARG00000008517	ortholog_one2one
ENSSSCG00000001679	ENSOARG00000007607	ortholog_one2one
ENSSSCG00000007356	ENSOARG00000001700	ortholog_one2one
ENSSSCG00000003366	ENSOARG00000013425	ortholog_one2one
ENSSSCG00000009283	ENSOARG00000013366	ortholog_one2one
ENSSSCG00000012286	ENSOARG00000012572	ortholog_one2one
ENSSSCG00000000063	ENSOARG00000018319	ortholog_one2one
ENSSSCG00000015618	ENSOARG00000013143	ortholog_one2one
ENSSSCG00000038131	ENSOARG00000007911	ortholog_one2one
ENSSSCG00000037053	ENSOARG00000005659	ortholog_one2one
ENSSSCG00000011721	ENSOARG00000015199	ortholog_one2one
ENSSSCG00000047233	ENSOARG00000015368	ortholog_one2many
ENSSSCG00000047233	ENSOARG00000018802	ortholog_one2many
ENSSSCG00000040264	ENSOARG00000009616	ortholog_one2one
ENSSSCG00000023483	ENSOARG00000004319	ortholog_one2one
ENSSSCG00000024232	ENSOARG00000019660	ortholog_one2one
ENSSSCG00000004918	ENSOARG00000005476	ortholog_one2one
ENSSSCG00000003941	ENSOARG00000000263	ortholog_one2one
ENSSSCG00000034386	ENSOARG00000016226	ortholog_one2one
ENSSSCG00000047914	ENSOARG00000012563	ortholog_one2one
ENSSSCG00000014073	ENSOARG00000004700	ortholog_one2many
ENSSSCG00000014073	ENSOARG00000004593	ortholog_one2many
ENSSSCG00000045014	ENSOARG00000008493	ortholog_one2many
ENSSSCG00000037514	ENSOARG00000020129	ortholog_many2many
ENSSSCG00000037514	ENSOARG00000020049	ortholog_many2many
ENSSSCG00000039778	ENSOARG00000016055	ortholog_one2many
ENSSSCG00000032557	ENSOARG00000020280	ortholog_many2many
ENSSSCG00000032557	ENSOARG00000016934	ortholog_many2many
ENSSSCG00000017307	ENSOARG00000011750	ortholog_one2one
ENSSSCG00000001683	ENSOARG00000007825	ortholog_one2one
ENSSSCG00000012661	ENSOARG00000009755	ortholog_one2one
ENSSSCG00000036437	ENSOARG00000013752	ortholog_one2one
ENSSSCG00000027275	ENSOARG00000018906	ortholog_one2one
ENSSSCG00000009234	ENSOARG00000002878	ortholog_one2one
ENSSSCG00000048930	ENSOARG00000003152	ortholog_one2many
ENSSSCG00000031592	ENSOARG00000007213	ortholog_one2one
ENSSSCG00000034984	ENSOARG00000020997	ortholog_one2one
ENSSSCG00000029129	ENSOARG00000007481	ortholog_one2one
ENSSSCG00000008400	ENSOARG00000004742	ortholog_one2many
ENSSSCG00000008400	ENSOARG00000002309	ortholog_one2many
ENSSSCG00000000064	ENSOARG00000018307	ortholog_one2one
ENSSSCG00000022874	ENSOARG00000003302	ortholog_one2one
ENSSSCG00000025981	ENSOARG00000012518	ortholog_one2one
ENSSSCG00000043897	ENSOARG00000008355	ortholog_many2many
ENSSSCG00000043897	ENSOARG00000008382	ortholog_many2many
ENSSSCG00000017308	ENSOARG00000011644	ortholog_one2one
ENSSSCG00000040328	ENSOARG00000016641	ortholog_one2one
ENSSSCG00000002668	ENSOARG00000011257	ortholog_one2one
ENSSSCG00000038042	ENSOARG00000002770	ortholog_one2one
ENSSSCG00000032959	ENSOARG00000004266	ortholog_one2many
ENSSSCG00000004456	ENSOARG00000007448	ortholog_one2one
ENSSSCG00000015619	ENSOARG00000013305	ortholog_one2one
ENSSSCG00000011941	ENSOARG00000018897	ortholog_one2one
ENSSSCG00000016960	ENSOARG00000005629	ortholog_one2one
ENSSSCG00000012648	ENSOARG00000009710	ortholog_one2one
ENSSSCG00000044152	ENSOARG00000008355	ortholog_many2many
ENSSSCG00000044152	ENSOARG00000008382	ortholog_many2many
ENSSSCG00000031166	ENSOARG00000009625	ortholog_one2one
ENSSSCG00000011640	ENSOARG00000008456	ortholog_one2one
ENSSSCG00000049630	ENSOARG00000016365	ortholog_one2one
ENSSSCG00000009290	ENSOARG00000013328	ortholog_one2one
ENSSSCG00000025492	ENSOARG00000007459	ortholog_one2one
ENSSSCG00000025441	ENSOARG00000019862	ortholog_one2one
ENSSSCG00000051528	ENSOARG00000013066	ortholog_many2many
ENSSSCG00000051528	ENSOARG00000013185	ortholog_many2many
ENSSSCG00000016395	ENSOARG00000008930	ortholog_one2one
ENSSSCG00000001689	ENSOARG00000007931	ortholog_one2one
ENSSSCG00000007560	ENSOARG00000005390	ortholog_one2one
ENSSSCG00000002666	ENSOARG00000011232	ortholog_one2one
ENSSSCG00000033194	ENSOARG00000011421	ortholog_one2one
ENSSSCG00000017770	ENSOARG00000003332	ortholog_one2one
ENSSSCG00000050589	ENSOARG00000008355	ortholog_many2many
ENSSSCG00000050589	ENSOARG00000008382	ortholog_many2many
ENSSSCG00000036568	ENSOARG00000016695	ortholog_one2one
ENSSSCG00000030222	ENSOARG00000016608	ortholog_one2one
ENSSSCG00000008406	ENSOARG00000002400	ortholog_one2one
ENSSSCG00000025766	ENSOARG00000015068	ortholog_one2one
ENSSSCG00000005436	ENSOARG00000007188	ortholog_one2one
ENSSSCG00000007944	ENSOARG00000003187	ortholog_one2one
ENSSSCG00000006624	ENSOARG00000020993	ortholog_one2one
ENSSSCG00000041140	ENSOARG00000001526	ortholog_one2many
ENSSSCG00000011942	ENSOARG00000018871	ortholog_one2one
ENSSSCG00000007359	ENSOARG00000002204	ortholog_one2one
ENSSSCG00000037056	ENSOARG00000009634	ortholog_one2one
ENSSSCG00000009236	ENSOARG00000002630	ortholog_one2one
ENSSSCG00000003667	ENSOARG00000020140	ortholog_one2one
ENSSSCG00000035082	ENSOARG00000018246	ortholog_one2one
ENSSSCG00000023709	ENSOARG00000008199	ortholog_one2one
ENSSSCG00000047247	ENSOARG00000016330	ortholog_one2one
ENSSSCG00000007556	ENSOARG00000005361	ortholog_one2one
ENSSSCG00000016346	ENSOARG00000008010	ortholog_one2one
ENSSSCG00000025599	ENSOARG00000012432	ortholog_one2one
ENSSSCG00000002667	ENSOARG00000011138	ortholog_one2one
ENSSSCG00000035833	ENSOARG00000009643	ortholog_one2one
ENSSSCG00000001691	ENSOARG00000008093	ortholog_one2one
ENSSSCG00000014074	ENSOARG00000004491	ortholog_one2one
ENSSSCG00000011639	ENSOARG00000008412	ortholog_one2one
ENSSSCG00000016959	ENSOARG00000005589	ortholog_one2one
ENSSSCG00000037534	ENSOARG00000014041	ortholog_one2one
ENSSSCG00000033453	ENSOARG00000025182	ortholog_one2many
ENSSSCG00000033453	ENSOARG00000016787	ortholog_one2many
ENSSSCG00000017769	ENSOARG00000003396	ortholog_one2one
ENSSSCG00000050412	ENSOARG00000017672	ortholog_one2many
ENSSSCG00000014467	ENSOARG00000011456	ortholog_one2many
ENSSSCG00000031221	ENSOARG00000018659	ortholog_one2one
ENSSSCG00000005437	ENSOARG00000007169	ortholog_one2one
ENSSSCG00000007358	ENSOARG00000002507	ortholog_one2one
ENSSSCG00000045161	ENSOARG00000017672	ortholog_one2many
ENSSSCG00000010295	ENSOARG00000007428	ortholog_one2one
ENSSSCG00000009821	ENSOARG00000016761	ortholog_one2one
ENSSSCG00000017310	ENSOARG00000011438	ortholog_one2one
ENSSSCG00000001692	ENSOARG00000008279	ortholog_one2one
ENSSSCG00000003943	ENSOARG00000000100	ortholog_one2one
ENSSSCG00000038766	ENSOARG00000005349	ortholog_one2one
ENSSSCG00000037958	ENSOARG00000025175	ortholog_one2one
ENSSSCG00000004457	ENSOARG00000007379	ortholog_one2one
ENSSSCG00000023716	ENSOARG00000009019	ortholog_one2one
ENSSSCG00000035706	ENSOARG00000009674	ortholog_one2one
ENSSSCG00000036503	ENSOARG00000008380	ortholog_one2one
ENSSSCG00000025561	ENSOARG00000010641	ortholog_one2one
ENSSSCG00000036893	ENSOARG00000019663	ortholog_one2one
ENSSSCG00000037025	ENSOARG00000016828	ortholog_one2one
ENSSSCG00000004919	ENSOARG00000005399	ortholog_one2one
ENSSSCG00000028934	ENSOARG00000004248	ortholog_one2one
ENSSSCG00000035152	ENSOARG00000018238	ortholog_one2one
ENSSSCG00000022011	ENSOARG00000009103	ortholog_one2one
ENSSSCG00000006001	ENSOARG00000015457	ortholog_one2one
ENSSSCG00000016613	ENSOARG00000018580	ortholog_one2one
ENSSSCG00000026412	ENSOARG00000013487	ortholog_one2one
ENSSSCG00000002669	ENSOARG00000011051	ortholog_one2one
ENSSSCG00000021514	ENSOARG00000005551	ortholog_one2one
ENSSSCG00000013223	ENSOARG00000007967	ortholog_one2one
ENSSSCG00000009820	ENSOARG00000016877	ortholog_one2one
ENSSSCG00000040410	ENSOARG00000009716	ortholog_one2one
ENSSSCG00000007360	ENSOARG00000002597	ortholog_one2one
ENSSSCG00000025612	ENSOARG00000013990	ortholog_one2one
ENSSSCG00000050088	ENSOARG00000007326	ortholog_one2one
ENSSSCG00000024793	ENSOARG00000012420	ortholog_one2one
ENSSSCG00000039761	ENSOARG00000020147	ortholog_one2one
ENSSSCG00000035238	ENSOARG00000020545	ortholog_one2one
ENSSSCG00000050475	ENSOARG00000012049	ortholog_one2one
ENSSSCG00000033036	ENSOARG00000018228	ortholog_one2one
ENSSSCG00000039690	ENSOARG00000000039	ortholog_many2many
ENSSSCG00000039690	ENSOARG00000000045	ortholog_many2many
ENSSSCG00000039690	ENSOARG00000007415	ortholog_many2many
ENSSSCG00000016074	ENSOARG00000015246	ortholog_one2one
ENSSSCG00000039946	ENSOARG00000013714	ortholog_one2one
ENSSSCG00000026898	ENSOARG00000007480	ortholog_one2one
ENSSSCG00000038440	ENSOARG00000016953	ortholog_one2one
ENSSSCG00000000545	ENSOARG00000019677	ortholog_one2one
ENSSSCG00000040445	ENSOARG00000009225	ortholog_one2one
ENSSSCG00000009237	ENSOARG00000002360	ortholog_one2one
ENSSSCG00000001695	ENSOARG00000008334	ortholog_one2one
ENSSSCG00000005438	ENSOARG00000003016	ortholog_one2one
ENSSSCG00000039363	ENSOARG00000012460	ortholog_many2many
ENSSSCG00000039363	ENSOARG00000012442	ortholog_many2many
ENSSSCG00000024008	ENSOARG00000007802	ortholog_one2one
ENSSSCG00000028877	ENSOARG00000021175	ortholog_one2one
ENSSSCG00000015255	ENSOARG00000013767	ortholog_one2one
ENSSSCG00000000546	ENSOARG00000019689	ortholog_one2one
ENSSSCG00000005440	ENSOARG00000007093	ortholog_one2one
ENSSSCG00000014075	ENSOARG00000019608	ortholog_one2one
ENSSSCG00000023653	ENSOARG00000003260	ortholog_one2one
ENSSSCG00000003669	ENSOARG00000020169	ortholog_one2one
ENSSSCG00000025108	ENSOARG00000004237	ortholog_one2one
ENSSSCG00000012671	ENSOARG00000012730	ortholog_one2one
ENSSSCG00000013120	ENSOARG00000013429	ortholog_one2one
ENSSSCG00000003368	ENSOARG00000012910	ortholog_one2one
ENSSSCG00000022538	ENSOARG00000009757	ortholog_one2one
ENSSSCG00000030610	ENSOARG00000007605	ortholog_one2one
ENSSSCG00000028646	ENSOARG00000009320	ortholog_one2one
ENSSSCG00000009822	ENSOARG00000016926	ortholog_one2one
ENSSSCG00000035080	ENSOARG00000008109	ortholog_one2many
ENSSSCG00000035080	ENSOARG00000003480	ortholog_one2many
ENSSSCG00000002670	ENSOARG00000011010	ortholog_one2one
ENSSSCG00000028786	ENSOARG00000005496	ortholog_one2one
ENSSSCG00000050014	ENSOARG00000007548	ortholog_one2one
ENSSSCG00000032768	ENSOARG00000012341	ortholog_one2one
ENSSSCG00000004114	ENSOARG00000002272	ortholog_one2one
ENSSSCG00000028202	ENSOARG00000018140	ortholog_one2one
ENSSSCG00000033910	ENSOARG00000008754	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000010517	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000014387	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000014373	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000014395	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000014360	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000008816	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000025166	ortholog_many2many
ENSSSCG00000033910	ENSOARG00000025167	ortholog_many2many
ENSSSCG00000038650	ENSOARG00000003633	ortholog_one2one
ENSSSCG00000003672	ENSOARG00000020175	ortholog_one2one
ENSSSCG00000011641	ENSOARG00000008351	ortholog_one2one
ENSSSCG00000031308	ENSOARG00000017051	ortholog_one2one
ENSSSCG00000028304	ENSOARG00000021177	ortholog_one2one
ENSSSCG00000009823	ENSOARG00000016933	ortholog_one2one
ENSSSCG00000003370	ENSOARG00000012818	ortholog_one2one
ENSSSCG00000003949	ENSOARG00000020542	ortholog_one2one
ENSSSCG00000034642	ENSOARG00000010228	ortholog_many2many
ENSSSCG00000034642	ENSOARG00000020364	ortholog_many2many
ENSSSCG00000023482	ENSOARG00000007522	ortholog_one2one
ENSSSCG00000009238	ENSOARG00000002261	ortholog_one2one
ENSSSCG00000040599	ENSOARG00000012308	ortholog_one2one
ENSSSCG00000011943	ENSOARG00000018829	ortholog_one2one
ENSSSCG00000017766	ENSOARG00000003806	ortholog_one2one
ENSSSCG00000014076	ENSOARG00000004394	ortholog_one2one
ENSSSCG00000005441	ENSOARG00000007124	ortholog_one2one
ENSSSCG00000044037	ENSOARG00000018322	ortholog_one2one
ENSSSCG00000015677	ENSOARG00000009420	ortholog_one2one
ENSSSCG00000008829	ENSOARG00000018118	ortholog_one2one
ENSSSCG00000003371	ENSOARG00000012693	ortholog_one2one
ENSSSCG00000017311	ENSOARG00000011303	ortholog_one2one
ENSSSCG00000009293	ENSOARG00000013232	ortholog_one2one
ENSSSCG00000012600	ENSOARG00000009828	ortholog_one2one
ENSSSCG00000040215	ENSOARG00000003120	ortholog_one2one
ENSSSCG00000021591	ENSOARG00000012250	ortholog_one2many
ENSSSCG00000006000	ENSOARG00000015977	ortholog_one2one
ENSSSCG00000034424	ENSOARG00000007517	ortholog_one2many
ENSSSCG00000009239	ENSOARG00000002231	ortholog_one2one
ENSSSCG00000036673	ENSOARG00000020179	ortholog_one2one
ENSSSCG00000016614	ENSOARG00000018446	ortholog_one2one
ENSSSCG00000009824	ENSOARG00000017042	ortholog_one2one
ENSSSCG00000012825	ENSOARG00000004058	ortholog_one2one
ENSSSCG00000039330	ENSOARG00000017060	ortholog_one2one
ENSSSCG00000015256	ENSOARG00000013611	ortholog_one2one
ENSSSCG00000038506	ENSOARG00000013891	ortholog_one2one
ENSSSCG00000038285	ENSOARG00000010970	ortholog_one2one
ENSSSCG00000006625	ENSOARG00000020987	ortholog_one2one
ENSSSCG00000030906	ENSOARG00000020527	ortholog_one2one
