junc_ratio	gene_id	circ_type	ssc_liver_1	ssc_liver_10	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_10	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9
7:68751543|68762784	ENSSSCG00000001973	exon	0.0	0.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.007	0.006	0.0	0.014	0.033	0.0	0.008	0.0
6:106566592|106593940	ENSSSCG00000003699	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.531	0.077	0.179	1.0	0.0	0.051	1.0	0.111	1.0	0.0
2:85494521|85518807	ENSSSCG00000014088	exon	0.0	0.0	0.029	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.019	0.0	0.0	0.0
13:121588580|121596427	ENSSSCG00000011775	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.168	0.214	0.76	0.75	0.136	0.0	0.258	0.276	0.0	0.273	0.267	0.5	0.235	0.0
13:75615215|75697679	ENSSSCG00000011645	exon	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	1.0	0.003	0.01	0.006	1.0	0.0	0.0	0.009
18:1958569|1962322	ENSSSCG00000016414	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.873	0.0	0.027	0.028	0.039	0.017	0.009	0.143	0.0	0.0
13:20977292|20988377	ENSSSCG00000011238	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.115	0.025	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.039	0.0	0.0
1:52134346|52179177	ENSSSCG00000004280	exon	0.683	0.812	0.766	1.0	0.642	0.386	0.892	0.328	0.748	0.756	0.0	0.0	0.824	0.0	0.674	0.571	0.761	0.747	0.624	0.779	0.522	0.69	0.688	0.207
4:103318060|103326827	ENSSSCG00000006730	exon	0.19	0.0	0.071	0.0	0.0	0.0	0.0	0.042	0.025	0.04	0.0	0.0	0.213	0.0	0.182	0.009	0.011	0.02	0.0	0.0	0.0	0.011	0.0	0.0
7:120464280|120473807	ENSSSCG00000002508	exon	0.784	0.289	0.753	0.528	0.519	0.241	0.33	0.234	0.527	0.351	0.0	0.069	0.108	0.04	1.0	0.166	0.663	1.0	0.497	1.0	0.549	1.0	0.189	1.0
7:68415361|68418283	ENSSSCG00000001971	exon	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.29	0.0	0.094	0.0	0.035	0.026	0.035	0.0	0.0	0.0
17:11844341|11850285	ENSSSCG00000024486	exon	0.213	0.171	0.0	0.0	0.0	0.062	0.112	0.102	0.089	0.0	0.261	0.134	0.023	0.0	1.0	0.0	1.0	1.0	0.058	0.0	1.0	0.155	0.0	0.0
6:34743079|34751712	ENSSSCG00000040887	exon	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.4	0.031	0.021	0.423	0.0	1.0	1.0	1.0	0.192	0.218	0.208	0.062	0.0
4:124722046|124744355	ENSSSCG00000006903	exon	0.327	0.19	0.0	0.0	0.0	0.326	0.0	0.143	0.0	1.0	0.0	0.545	0.333	0.264	0.378	0.0	0.204	0.263	0.116	1.0	0.227	0.132	0.129	0.073
4:111248143|111257616	ENSSSCG00000006845	exon	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.021	0.065	0.021	0.015	0.019	0.0	0.0	0.0
13:126084240|126115895	ENSSSCG00000011811	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.018	0.021	0.0	0.014	0.0	0.0	0.0	0.018
13:146036553|146078858	ENSSSCG00000011915	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.154	1.0	0.368	1.0	1.0	0.516	0.207	0.293	0.0
13:121035546|121036441	ENSSSCG00000025942	exon	0.0	0.014	0.01	0.0	0.0	0.0	0.0	0.014	0.006	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.05	0.133	0.0	0.0	0.0	0.0
14:75001609|75032788	ENSSSCG00000023130	exon	0.0	0.105	0.022	0.0	0.0	0.0	0.022	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.472	0.0	0.038	0.035	0.0	0.013	0.0	0.027	0.006	0.0
6:110809477|110819629	ENSSSCG00000045029,ENSSSCG00000003717	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.0	0.027	0.026	0.027	0.019	0.014	0.014	0.0	0.0
10:12624649|12652349	ENSSSCG00000026705	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.471	0.136	0.0	0.0	1.0	0.0	0.0
1:8949349|8964165	ENSSSCG00000012314	exon	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.03	0.022	0.012	0.02	0.042	0.046	0.0	0.0
17:169913|174293	ENSSSCG00000007001	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.019	0.026	0.0	0.0
3:40469709|40502122	ENSSSCG00000022963	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.123	0.0	0.0	0.0	0.0
3:107609926|107613737	ENSSSCG00000008515	exon	0.0	0.109	0.0	0.0	0.0	0.312	0.345	0.333	0.0	0.095	0.578	0.48	0.279	0.314	1.0	0.311	0.132	0.247	0.287	0.119	0.211	0.242	0.147	0.061
2:137591763|137614409	ENSSSCG00000014307	exon	0.0	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.451	0.072	0.127	0.113	1.0	0.0	1.0	1.0	0.088	0.0
10:48813620|48814435	ENSSSCG00000011068	exon	0.0	0.0	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.667	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
10:52544381|52548403	ENSSSCG00000011080	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.003	0.004	0.007	0.001	0.005	0.007	0.002
12:43006733|43029509	ENSSSCG00000017744	exon	0.414	0.0	0.0	0.0	1.0	0.0	0.049	0.0	0.091	0.0	0.0	0.222	0.0	0.0	1.0	0.069	0.301	0.281	0.203	1.0	0.271	0.25	0.145	0.077
4:3070732|3083994	ENSSSCG00000005934	exon	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.012
14:28129329|28142370	ENSSSCG00000009755	exon	1.0	0.019	1.0	0.0	0.0	0.023	0.03	0.021	0.02	0.024	0.0	0.0	0.0	0.0	0.438	0.017	0.083	0.089	0.02	0.049	0.047	0.082	0.032	0.0
13:206986084|206990757	ENSSSCG00000039085	exon	0.921	0.444	1.0	0.247	0.677	0.311	1.0	0.333	0.48	0.418	0.0	0.0	0.143	0.088	1.0	0.152	0.747	1.0	1.0	1.0	1.0	0.622	0.423	0.245
14:50628370|50629322	ENSSSCG00000010101	exon	0.737	0.0	0.4	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.0	0.526	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.025
4:95613286|95625489	ENSSSCG00000038125	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.006	0.129	0.003	0.0	0.235	0.0	0.0
1:57392229|57393736	ENSSSCG00000004318	exon	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.537	0.26	0.213	0.12	0.207	0.031	0.022	0.024	0.011	0.0	0.036	0.011	0.0	0.0
9:116495349|116556539	ENSSSCG00000015499	exon	0.276	0.074	1.0	0.0	0.146	0.017	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.016	0.088	0.783	0.078	0.0	0.033
4:68130256|68142207	ENSSSCG00000027872	exon	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.074	0.078	0.0	0.047	0.019	0.381	0.0	0.0
5:94479159|94482115	ENSSSCG00000000925	exon	0.435	0.04	0.246	0.0	0.449	0.0	0.0	0.0	0.0	0.204	0.0	0.0	0.0	0.0	0.324	0.0	0.041	0.034	0.078	0.065	0.126	0.0	0.031	0.0
4:106166396|106176162	ENSSSCG00000006757	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.01	0.004	0.0	0.0	0.02	0.0	0.0	0.0
10:15083385|15085471	ENSSSCG00000010863	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.006	0.0	0.026	0.012	0.0	0.015	0.0	0.004
1:239183662|239188777	ENSSSCG00000040711	exon	0.0	0.052	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.072	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0
9:130297504|130326725	ENSSSCG00000015586	exon	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.968	0.0	0.444	1.0	0.24	1.0	0.0	0.455	0.0	0.0
12:14216841|14218889	ENSSSCG00000033528	exon	0.174	0.0	0.125	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.0	0.561	0.0	0.417	0.385	0.194	0.133	0.213	0.185	0.019	0.0
14:115224110|115224691	ENSSSCG00000030271	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.003	0.001	0.0	0.004	0.007	0.008	0.007	0.004
9:64541904|64551059	ENSSSCG00000028035	exon	0.01	0.0	0.0	0.0	0.0	0.019	0.0	0.005	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.002	0.029	0.031	0.008	0.005	0.013	0.032	0.014	0.036
X:13589289|13636590	ENSSSCG00000012150	exon	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.308	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.0	0.0	0.123	0.036	0.0	0.0	0.0	0.0	0.0
12:40037309|40038184	ENSSSCG00000025796	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.121	0.585	0.0	0.044	0.012	0.047	0.0	0.056	0.033	0.024	0.0
10:31173505|31201934	ENSSSCG00000026087	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.17	0.0	0.004	0.004	0.004	0.012	0.002	0.0	0.0	0.0
7:306094|311618	ENSSSCG00000000985	exon	0.053	0.0	0.118	0.0	0.0	0.017	0.0	0.0	0.0	0.014	0.0	0.0	0.018	0.0	1.0	0.0	0.478	0.103	0.068	0.022	0.033	0.117	0.013	0.021
13:134998506|135020313	ENSSSCG00000011858	exon	0.56	0.273	0.275	0.506	0.84	0.116	1.0	0.261	0.095	0.208	0.587	0.837	0.521	1.0	1.0	0.105	1.0	1.0	1.0	1.0	1.0	1.0	0.235	1.0
13:54139188|54163603	ENSSSCG00000011518	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.649	0.0	0.197	0.046	0.045	0.171	0.159	0.143	0.0	0.094
1:264046193|264118531	ENSSSCG00000005582	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.606	1.0	1.0	0.333	1.0	0.438	0.084	0.071
11:45216304|45246755	ENSSSCG00000024722	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.4	0.429	0.044	0.0
12:42993597|42998085	ENSSSCG00000017744	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.035	0.086	0.033	0.058	0.042	0.03	0.0
6:165903478|165951653	ENSSSCG00000003917	exon	0.678	0.483	0.785	0.887	0.609	0.333	0.407	0.429	0.526	0.436	0.0	0.0	0.391	0.0	0.628	0.188	0.112	0.108	0.153	0.335	0.085	0.106	0.064	0.19
5:16309169|16322891	ENSSSCG00000028516	exon	0.0	0.0	0.02	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.058	0.0	0.133	0.015	0.016	0.006	0.0	0.025	0.014	0.025	0.0	0.0
12:36418549|36419324	ENSSSCG00000017672	exon	0.044	0.0	0.0	0.0	0.0	0.03	0.066	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.241	0.0	0.022	0.064	0.034	0.03	0.056	0.046	0.0	0.0
12:38729382|38750304	ENSSSCG00000017694	exon	0.0	0.0	0.0	0.0	0.0	0.011	0.016	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.017	0.003	0.0
13:39257510|39270281	ENSSSCG00000020990	exon	0.0	0.0	0.0	0.0	0.0	0.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	1.0	1.0	0.0	0.0	0.081	1.0	0.006	0.0
13:82802690|82893436	ENSSSCG00000037647	exon	0.273	0.0	0.4	0.0	0.769	0.0	0.0	0.0	0.0	0.0	0.0	0.316	0.197	0.053	0.312	0.042	1.0	0.005	1.0	0.0	0.0	0.0	0.0	0.0
1:161909790|161924707	ENSSSCG00000034704	exon	1.0	0.0	0.727	0.0	0.0	0.0	0.0	0.2	0.0	0.571	0.0	0.0	0.697	0.571	0.9	0.115	0.59	0.492	0.272	0.324	0.492	0.354	1.0	0.156
1:271131859|271139097	ENSSSCG00000005711	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.528	0.039	0.353	0.103	0.078	0.0	0.0	0.041	0.0	0.016
2:4308311|4336158	ENSSSCG00000012882	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.216	0.0	0.007	0.003	0.006	0.0	0.005	0.009	0.0	0.0
13:135736998|135739109	ENSSSCG00000030362	exon	0.286	0.016	0.315	0.268	0.164	0.022	0.019	0.025	0.087	0.016	0.0	0.0	0.018	0.032	0.333	0.013	0.121	0.0	0.0	0.037	0.0	0.0	0.0	0.0
12:60348042|60370222	ENSSSCG00000018049	exon	0.492	1.0	1.0	1.0	1.0	0.0	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.279	0.102	1.0	0.115	0.0
16:24175667|24179590	ENSSSCG00000016853	exon	0.043	0.049	0.0	0.0	0.34	0.0	0.0	0.16	0.095	0.0	0.333	0.0	0.12	0.113	0.936	0.022	0.476	0.4	1.0	0.462	0.343	0.378	0.12	0.0
2:151057065|151069641	ENSSSCG00000014440	exon	0.0	0.0	0.053	0.54	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.16	0.0	1.0	0.0	1.0	0.324	0.097	1.0	0.123	0.0	0.008	0.011
9:710016|710145	ENSSSCG00000014569,ENSSSCG00000039963	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.048	0.036	0.208	0.068	0.068	0.0	0.0
17:34741781|34743068	ENSSSCG00000007203	exon	0.043	0.0	0.0	0.0	0.0	0.041	0.059	0.06	0.033	0.0	0.0	0.0	0.044	0.0	0.491	0.0	0.055	0.01	0.014	0.03	0.016	0.052	0.036	0.0
14:105137081|105147398	ENSSSCG00000024359	exon	0.417	0.286	0.083	0.0	0.0	0.0	0.421	0.0	0.0	0.0	0.0	0.148	0.0	0.095	0.061	0.0	0.457	0.103	0.072	0.122	0.102	0.153	0.0	0.0
7:55152089|55158927	ENSSSCG00000040355	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.157	0.018	0.0	0.096	0.0	0.0
1:39228114|39258902	ENSSSCG00000027613	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.672	0.0	0.188	0.114	0.484	0.222	0.467	0.085	0.0	0.075
4:40393080|40393660	ENSSSCG00000006090	exon	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.042	1.0	0.0	0.074	0.017	0.0	0.0	0.0	0.0
12:22206539|22208508	ENSSSCG00000017477	exon	0.192	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.006	0.0	0.019	0.013	0.007	0.007	0.006	0.0	0.017
6:106714258|106737020	ENSSSCG00000003700	exon	0.0	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.148	0.074	0.0	0.027	0.0	0.0	1.0	0.182	0.0	0.0
4:87961821|87990257	ENSSSCG00000006340	exon	0.0	0.0	0.0	0.0	0.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.03	0.004	0.0	0.004	0.004	0.0
1:641934|643477	ENSSSCG00000004008	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.058	0.07	0.01	0.081	0.241	0.167	0.0	0.0
1:126914266|126929183	ENSSSCG00000004684	exon	0.0	0.0	0.0	0.0	0.349	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
1:131093418|131106285	ENSSSCG00000004782	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.094	1.0	0.068	0.0	0.065	0.043	0.0
13:138713944|138729990	ENSSSCG00000011881	exon	0.0	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.138	0.0	0.0	0.679	0.022	1.0	0.081	0.085	0.034	0.04	0.02	0.0	0.076
15:47407473|47469720	ENSSSCG00000015807	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.006	0.0	0.0
8:116266128|116315074	ENSSSCG00000022788	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
1:169503333|169542820	ENSSSCG00000004979	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.034	1.0	1.0	0.045
11:19200035|19204789	ENSSSCG00000009401	exon	0.476	0.235	0.2	0.463	0.0	0.19	0.095	0.167	0.0	0.222	0.276	0.0	0.769	0.047	0.667	0.057	0.75	1.0	0.333	0.545	0.588	0.0	0.0	0.0
8:82698451|82719341	ENSSSCG00000009037	exon	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.667	1.0	0.0	0.0	0.111	0.0	0.808	0.0	0.595	0.269	0.271	0.386	0.381	0.254	0.0	0.0
1:184316868|184330517	ENSSSCG00000005052	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
9:116532205|116536069	ENSSSCG00000015499	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.026	0.012	0.0	0.006	0.026	0.0	0.0
7:4766697|4772574	ENSSSCG00000001024	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.245	0.027	0.013	0.018	0.4	0.0	0.0	0.5	0.0	0.002
1:169713656|169718710	ENSSSCG00000004986	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.016	0.165	0.0	0.009	0.037	0.014	0.0	0.029	0.036	0.005	0.0
9:131469573|131475251	ENSSSCG00000015603	exon	0.042	0.0	0.087	0.0	0.123	0.0	0.0	0.017	0.086	0.054	0.0	0.0	0.0	0.0	0.196	0.01	0.091	0.0	0.063	0.0	0.066	0.0	0.0	0.0
13:201043326|201121879	ENSSSCG00000030480	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.415	0.0	0.03	1.0	1.0	1.0	1.0	1.0	0.0	0.0
1:205515399|205527866	ENSSSCG00000005178	exon	0.923	0.0	0.667	0.0	0.811	0.0	0.0	0.286	0.545	0.72	0.0	0.0	0.0	0.0	0.885	0.0	1.0	0.149	1.0	1.0	1.0	1.0	1.0	0.379
13:89284426|89288648	ENSSSCG00000025293	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.286	0.0	0.0	1.0	0.14	0.0	0.0
4:90231259|90238988	ENSSSCG00000006388	exon	0.0	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.001	0.0	0.026	0.0	0.005	0.009	0.008	0.0	0.002	0.002	0.008	0.0
14:89065561|89075561	ENSSSCG00000010380	exon	0.0	0.0	0.0	0.0	0.0	0.133	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.124	0.0	0.022	0.02	0.037	0.122	0.05	0.024	0.027	0.0
